D0,D1,D2,date,value
T,LAS,BPT,2023-02-01,1428.0023654928898
T,LAS,BPT,2023-03-01,1410.5708382593023
T,LAS,BPT,2023-04-01,1405.985261694812
T,LAS,BPT,2023-05-01,1468.8883018050622
T,LAS,BPT,2023-06-01,1509.7875835807256
T,LAS,BPT,2023-07-01,1517.7248273405842
T,LAS,BPT,2023-08-01,1393.350835292799
T,LAS,BPT,2023-09-01,1445.0130178644158
T,LAS,BPT,2023-10-01,1542.2997599299806
T,LAS,BPT,2023-11-01,1485.7381300504683
T,LAS,BPT,2023-12-01,1542.121565754545
T,LAS,BPT,2024-01-01,1468.0108326859104
T,LAS,BPT,2024-02-01,1385.7033706382779
T,LAS,BPT,2024-03-01,1450.7685649651025
T,LAS,BPT,2024-04-01,1428.6045510308709
T,LAS,BPT,2024-05-01,1390.6836169682126
T,LAS,BPT,2024-06-01,1545.7449724768535
T,LAS,BPT,2024-07-01,1394.1260290565292
T,LAS,BPT,2024-08-01,1400.385051298092
T,LAS,BPT,2024-09-01,1431.8548031208798
T,LAS,BPT,2024-10-01,1431.8880798769878
T,LAS,BPT,2024-11-01,1469.4104556822965
T,LAS,BPT,2024-12-01,1575.2494604527599
T,LAS,BPT,2025-01-01,1457.5725649907388
T,LAS,BPT,2025-02-01,1381.103477909921
T,LAS,BPT,2025-03-01,1354.5752911752704
T,LAS,BPT,2025-04-01,1618.0434524956459
T,LAS,BPT,2025-05-01,1476.4193658099464
T,LAS,BPT,2025-06-01,1490.045975303222
T,LAS,BPT,2025-07-01,1510.0265890258274
T,LAS,BPT,2025-08-01,1447.4044835806149
T,LAS,BPT,2025-09-01,1620.589037330099
T,LAS,BPT,2025-10-01,1476.1041424161788
T,LAS,BPT,2025-11-01,1560.3505038952346
T,LAS,BPT,2025-12-01,1608.6861234248559
T,LAS,BPT,2026-01-01,1591.183009345165
T,LAS,BPT,2026-02-01,1521.762997563508
T,LAS,BPT,2026-03-01,1431.2136066335947
T,LAS,BPT,2026-04-01,1544.8723274004412
T,LAS,BPT,2026-05-01,1557.8390574704783
T,T,ATA,2012-03-01,248409.5
T,T,ATA,2012-06-01,245450.8
T,T,ATA,2012-09-01,239826.7
T,T,ATA,2012-12-01,276381
T,T,ATA,2013-03-01,253013.7
T,T,ATA,2013-06-01,254628.9
T,T,ATA,2013-09-01,249955.2
T,T,ATA,2013-12-01,276431.5
T,T,ATA,2014-03-01,258283.7
T,T,ATA,2014-06-01,257955.8
T,T,ATA,2014-09-01,252738.3
T,T,ATA,2014-12-01,277472.4
T,T,ATA,2015-03-01,262428
T,T,ATA,2015-06-01,261281.1
T,T,ATA,2015-09-01,255518.4
T,T,ATA,2015-12-01,284460.4
T,T,ATA,2016-03-01,264178.9
T,T,ATA,2016-06-01,266569.4
T,T,ATA,2016-09-01,254609.2
T,T,ATA,2016-12-01,278574.7
T,T,ATA,2017-03-01,275800
T,T,ATA,2017-06-01,274203.2
T,T,ATA,2017-09-01,260715.3
T,T,ATA,2017-12-01,291180.4
T,T,ATA,2018-03-01,279843.9
T,T,ATA,2018-06-01,278954.3
T,T,ATA,2018-09-01,267553.3
T,T,ATA,2018-12-01,304028.7
T,T,ATA,2019-03-01,285761.9
T,T,ATA,2019-06-01,283359.5
T,T,ATA,2019-09-01,280594
T,T,ATA,2019-12-01,310504.3
T,T,ATA,2020-03-01,292999
T,T,ATA,2020-06-01,284477.9
T,T,ATA,2020-09-01,289010.6
T,T,ATA,2020-12-01,326565.5
T,T,ATA,2021-03-01,305040.5
T,T,ATA,2021-06-01,309966.8
T,T,ATA,2021-09-01,307926.3
T,T,ATA,2021-12-01,345301.3
T,T,ATA,2022-01-01,121676.79000000015
T,T,ATA,2022-02-01,115208.47299999998
T,T,ATA,2022-03-01,136980.473
T,T,ATA,2022-04-01,120042.03900000012
T,T,ATA,2022-05-01,132697.534
T,T,ATA,2022-06-01,132160.923
T,T,ATA,2022-07-01,124239.22900000012
T,T,ATA,2022-08-01,130776.015
T,T,ATA,2022-09-01,131430.512
T,T,ATA,2022-10-01,129034.86500000014
T,T,ATA,2022-11-01,137571.559
T,T,ATA,2022-12-01,155979.724
T,T,ATA,2023-01-01,139316.8290000001
T,T,ATA,2023-02-01,130019.6
T,T,ATA,2023-03-01,153130.86500000005
T,T,ATA,2023-04-01,129887.33900000002
T,T,ATA,2023-05-01,151756.318
T,T,ATA,2023-06-01,151301.729
T,T,ATA,2023-07-01,144338.873
T,T,ATA,2023-08-01,142776.99
T,T,ATA,2023-09-01,142453.869
T,T,ATA,2023-10-01,152107.662
T,T,ATA,2023-11-01,155499.951
T,T,ATA,2023-12-01,167759.953
T,T,ATA,2024-01-01,160993.373
T,T,ATA,2024-02-01,152458.8
T,T,ATA,2024-03-01,154116.841
T,T,ATA,2024-04-01,164184.959
T,T,ATA,2024-05-01,165528.423
T,T,ATA,2024-06-01,154060.22499999998
T,T,ATA,2024-07-01,171804.746
T,T,ATA,2024-08-01,154967.681
T,T,ATA,2024-09-01,160831.22
T,T,ATA,2024-10-01,169406.968
T,T,ATA,2024-11-01,166265.473
T,T,ATA,2024-12-01,190057.54
T,T,ATA,2025-01-01,168773.701
T,T,ATA,2025-02-01,160278.184
T,T,ATA,2025-03-01,175382.45
T,T,ATA,2025-04-01,169766.706
T,T,ATA,2025-05-01,175418.332
T,T,ATA,2025-06-01,175177.395
T,T,ATA,2025-07-01,178109.118
T,T,ATA,2025-08-01,159386.979
T,T,ATA,2025-09-01,176751.866
T,T,ATA,2025-10-01,180438.58
T,T,ATA,2025-11-01,167048.795
T,T,ATA,2025-12-01,208369.426
T,T,ATA,2026-01-01,171819.15099999998
T,T,ATA,2026-02-01,164273.49999999997
T,T,ATA,2026-03-01,189465.778
T,T,ATA,2026-04-01,176972.545
T,T,ATA,2026-05-01,174267.485
T,T,BET,2012-03-01,1674525300
T,T,BET,2012-06-01,1650054100
T,T,BET,2012-09-01,1441201300
T,T,BET,2012-12-01,1587169900
T,T,BET,2013-03-01,1495267500
T,T,BET,2013-06-01,1573528500
T,T,BET,2013-09-01,1485451600
T,T,BET,2013-12-01,1665782100
T,T,BET,2014-03-01,1550048000
T,T,BET,2014-06-01,1564942500
T,T,BET,2014-09-01,1496527000
T,T,BET,2014-12-01,1658166600
T,T,BET,2015-03-01,1738050600
T,T,BET,2015-06-01,1575264700
T,T,BET,2015-09-01,1502312500
T,T,BET,2015-12-01,1794505600
T,T,BET,2016-03-01,1638755100
T,T,BET,2016-06-01,1657977800
T,T,BET,2016-09-01,1619944100
T,T,BET,2016-12-01,1771300400
T,T,BET,2017-03-01,1712896200
T,T,BET,2017-06-01,1752872600
T,T,BET,2017-09-01,1568612300
T,T,BET,2017-12-01,1796572700
T,T,BET,2018-03-01,1766895900
T,T,BET,2018-06-01,1852187000
T,T,BET,2018-09-01,1686110000
T,T,BET,2018-12-01,1912038600
T,T,BET,2019-03-01,1817606300
T,T,BET,2019-06-01,1807896100
T,T,BET,2019-09-01,1803133600
T,T,BET,2019-12-01,1975509700
T,T,BET,2020-03-01,1996201200
T,T,BET,2020-06-01,1877640800
T,T,BET,2020-09-01,1737429400
T,T,BET,2020-12-01,1984534900
T,T,BET,2021-03-01,1926893100
T,T,BET,2021-06-01,1964308500
T,T,BET,2021-09-01,1866749500
T,T,BET,2021-12-01,2333900800
T,T,BET,2022-01-01,772284189.7645717
T,T,BET,2022-02-01,738630281.1157452
T,T,BET,2022-03-01,938457179.2918987
T,T,BET,2022-04-01,816106091.7925819
T,T,BET,2022-05-01,852558268.3519913
T,T,BET,2022-06-01,836404336.3574473
T,T,BET,2022-07-01,781170039.7768353
T,T,BET,2022-08-01,774963906.6535817
T,T,BET,2022-09-01,861046749.1651112
T,T,BET,2022-10-01,848208179.7159044
T,T,BET,2022-11-01,887141791.1629561
T,T,BET,2022-12-01,963077781.5351237
T,T,BET,2023-01-01,849941857.5677578
T,T,BET,2023-02-01,761249573.0348706
T,T,BET,2023-03-01,965419883.2380128
T,T,BET,2023-04-01,807027029.5383422
T,T,BET,2023-05-01,846930283.2532928
T,T,BET,2023-06-01,814102449.864009
T,T,BET,2023-07-01,751329723.9135066
T,T,BET,2023-08-01,769454803.9015086
T,T,BET,2023-09-01,766517739.0510253
T,T,BET,2023-10-01,790938162.2612436
T,T,BET,2023-11-01,811695811.3920151
T,T,BET,2023-12-01,894509909.0643378
T,T,BET,2024-01-01,808376386.7314998
T,T,BET,2024-02-01,787404675.6607231
T,T,BET,2024-03-01,822260232.7851703
T,T,BET,2024-04-01,868157197.2986346
T,T,BET,2024-05-01,847403683.4913856
T,T,BET,2024-06-01,775363843.5195223
T,T,BET,2024-07-01,798890862.0028647
T,T,BET,2024-08-01,690011217.7696443
T,T,BET,2024-09-01,715832059.8418071
T,T,BET,2024-10-01,761902991.119016
T,T,BET,2024-11-01,775346635.1765424
T,T,BET,2024-12-01,911932560.6375533
T,T,BET,2025-01-01,816416389.2669607
T,T,BET,2025-02-01,761531058.3626997
T,T,BET,2025-03-01,851388818.0777172
T,T,BET,2025-04-01,813582335.8764917
T,T,BET,2025-05-01,822344264.2233385
T,T,BET,2025-06-01,778378893.2552819
T,T,BET,2025-07-01,778429694.1134444
T,T,BET,2025-08-01,674039060.4788847
T,T,BET,2025-09-01,744168916.5556465
T,T,BET,2025-10-01,789832925.8609562
T,T,BET,2025-11-01,793142528.8339942
T,T,BET,2025-12-01,979233005.2427869
T,T,BET,2026-01-01,825400776.2853662
T,T,BET,2026-02-01,798427089.5086758
T,T,BET,2026-03-01,962839554.4674847
T,T,BET,2026-04-01,886188066.711798
T,T,BET,2026-05-01,849868204.695392
T,T,BPT,2012-03-01,6740.987361594464
T,T,BPT,2012-06-01,6722.545210689883
T,T,BPT,2012-09-01,6009.344664293008
T,T,BPT,2012-12-01,5742.68817321017
T,T,BPT,2013-03-01,5909.8282029787315
T,T,BPT,2013-06-01,6179.6932712665375
T,T,BPT,2013-09-01,5942.871362548169
T,T,BPT,2013-12-01,6026.0212747100095
T,T,BPT,2014-03-01,6001.338837874786
T,T,BPT,2014-06-01,6066.707939887376
T,T,BPT,2014-09-01,5921.251349716288
T,T,BPT,2014-12-01,5975.969501831533
T,T,BPT,2015-03-01,6622.961726645023
T,T,BPT,2015-06-01,6029.003628658942
T,T,BPT,2015-09-01,5879.468954094891
T,T,BPT,2015-12-01,6308.454885108788
T,T,BPT,2016-03-01,6203.2020725349375
T,T,BPT,2016-06-01,6219.685380242443
T,T,BPT,2016-09-01,6362.472762178272
T,T,BPT,2016-12-01,6358.439585504354
T,T,BPT,2017-03-01,6210.646120377085
T,T,BPT,2017-06-01,6392.604462675856
T,T,BPT,2017-09-01,6016.571716351131
T,T,BPT,2017-12-01,6169.964393207784
T,T,BPT,2018-03-01,6313.862478331669
T,T,BPT,2018-06-01,6639.750668837154
T,T,BPT,2018-09-01,6301.959273161648
T,T,BPT,2018-12-01,6289.006925990869
T,T,BPT,2019-03-01,6360.562062332311
T,T,BPT,2019-06-01,6380.220532574345
T,T,BPT,2019-09-01,6426.1302807615275
T,T,BPT,2019-12-01,6362.261971895397
T,T,BPT,2020-03-01,6812.99663138782
T,T,BPT,2020-06-01,6600.304628232983
T,T,BPT,2020-09-01,6011.645939629896
T,T,BPT,2020-12-01,6076.988842973308
T,T,BPT,2021-03-01,6316.8435011088695
T,T,BPT,2021-06-01,6337.157721407583
T,T,BPT,2021-09-01,6062.325627918109
T,T,BPT,2021-12-01,6759.026971517338
T,T,BPT,2022-01-01,6347.013179461512
T,T,BPT,2022-02-01,6411.24964060365
T,T,BPT,2022-03-01,6851.0289002425825
T,T,BPT,2022-04-01,6798.5024129137055
T,T,BPT,2022-05-01,6424.823752579993
T,T,BPT,2022-06-01,6328.68110611975
T,T,BPT,2022-07-01,6287.6278778004535
T,T,BPT,2022-08-01,5925.887148752634
T,T,BPT,2022-09-01,6551.345924644281
T,T,BPT,2022-10-01,6573.480583839906
T,T,BPT,2022-11-01,6448.584268518437
T,T,BPT,2022-12-01,6174.3780334880175
T,T,BPT,2023-01-01,6100.783829696247
T,T,BPT,2023-02-01,5854.883210184238
T,T,BPT,2023-03-01,6304.541434138784
T,T,BPT,2023-04-01,6213.2848032119755
T,T,BPT,2023-05-01,5580.8568263582465
T,T,BPT,2023-06-01,5380.655298816903
T,T,BPT,2023-07-01,5205.317932013413
T,T,BPT,2023-08-01,5389.207349878357
T,T,BPT,2023-09-01,5380.813764005422
T,T,BPT,2023-10-01,5199.857468463643
T,T,BPT,2023-11-01,5219.910399791798
T,T,BPT,2023-12-01,5332.082496853929
T,T,BPT,2024-01-01,5021.1780253308925
T,T,BPT,2024-02-01,5164.704665527494
T,T,BPT,2024-03-01,5335.304224054076
T,T,BPT,2024-04-01,5287.678010131455
T,T,BPT,2024-05-01,5119.384744524423
T,T,BPT,2024-06-01,5032.861944213845
T,T,BPT,2024-07-01,4649.992975181633
T,T,BPT,2024-08-01,4452.61368897715
T,T,BPT,2024-09-01,4450.827767406148
T,T,BPT,2024-10-01,4497.471385704844
T,T,BPT,2024-11-01,4663.305141991461
T,T,BPT,2024-12-01,4798.191961432066
T,T,BPT,2025-01-01,4837.343640801956
T,T,BPT,2025-02-01,4751.308252673362
T,T,BPT,2025-03-01,4854.4698633056905
T,T,BPT,2025-04-01,4792.355079779257
T,T,BPT,2025-05-01,4687.903794589373
T,T,BPT,2025-06-01,4443.375204062613
T,T,BPT,2025-07-01,4370.521300955768
T,T,BPT,2025-08-01,4228.946835606218
T,T,BPT,2025-09-01,4210.246451121747
T,T,BPT,2025-10-01,4377.295176347299
T,T,BPT,2025-11-01,4747.969171726106
T,T,BPT,2025-12-01,4699.504260489669
T,T,BPT,2026-01-01,4803.892764464691
T,T,BPT,2026-02-01,4860.352336248245
T,T,BPT,2026-03-01,5081.865256254799
T,T,BPT,2026-04-01,5007.488967917582
T,T,BPT,2026-05-01,4876.803063379219
T,UEB_NPB_DAA,ATA,2022-01-01,8279.636
T,UEB_NPB_DAA,ATA,2022-02-01,8594.909
T,UEB_NPB_DAA,ATA,2022-03-01,9081.338
T,UEB_NPB_DAA,ATA,2022-04-01,9007.537
T,UEB_NPB_DAA,ATA,2022-05-01,8765.555
T,UEB_NPB_DAA,ATA,2022-06-01,8924.225
T,UEB_NPB_DAA,ATA,2022-07-01,9001.4
T,UEB_NPB_DAA,ATA,2022-08-01,8567.931
T,UEB_NPB_DAA,ATA,2022-09-01,9280.309
T,UEB_NPB_DAA,ATA,2022-10-01,8000.116
T,UEB_NPB_DAA,ATA,2022-11-01,8619.057
T,UEB_NPB_DAA,ATA,2022-12-01,9130.78
T,UEB_NPB_DAA,ATA,2023-01-01,8556.59
T,UEB_NPB_DAA,ATA,2023-02-01,8910.073
T,UEB_NPB_DAA,ATA,2023-03-01,9614.651
T,UEB_NPB_DAA,ATA,2023-04-01,8713.674
T,UEB_NPB_DAA,ATA,2023-05-01,9170.675
T,UEB_NPB_DAA,ATA,2023-06-01,9731.624
T,UEB_NPB_DAA,ATA,2023-07-01,9166.84
T,UEB_NPB_DAA,ATA,2023-08-01,8859.403
T,UEB_NPB_DAA,ATA,2023-09-01,9573.397
T,UEB_NPB_DAA,ATA,2023-10-01,9110.295
T,UEB_NPB_DAA,ATA,2023-11-01,9325.382
T,UEB_NPB_DAA,ATA,2023-12-01,9653.236
T,UEB_NPB_DAA,ATA,2024-01-01,9056.13
T,UEB_NPB_DAA,ATA,2024-02-01,9349.726
T,UEB_NPB_DAA,ATA,2024-03-01,9746.117
T,UEB_NPB_DAA,ATA,2024-04-01,9515.006
T,UEB_NPB_DAA,ATA,2024-05-01,9831.752
T,UEB_NPB_DAA,ATA,2024-06-01,9084.997
T,UEB_NPB_DAA,ATA,2024-07-01,10279.942
T,UEB_NPB_DAA,ATA,2024-08-01,9579.100999999999
T,UEB_NPB_DAA,ATA,2024-09-01,9513.504
T,UEB_NPB_DAA,ATA,2024-10-01,9878.66
T,UEB_NPB_DAA,ATA,2024-11-01,10107.101
T,UEB_NPB_DAA,ATA,2024-12-01,10070.885
T,UEB_NPB_DAA,ATA,2025-01-01,9883.431
T,UEB_NPB_DAA,ATA,2025-02-01,9858.388
T,UEB_NPB_DAA,ATA,2025-03-01,9708.27
T,UEB_NPB_DAA,ATA,2025-04-01,10303.677
T,UEB_NPB_DAA,ATA,2025-05-01,10199.303
T,UEB_NPB_DAA,ATA,2025-06-01,9895.887
T,UEB_NPB_DAA,ATA,2025-07-01,10747.603
T,UEB_NPB_DAA,ATA,2025-08-01,9422.766
T,UEB_NPB_DAA,ATA,2025-09-01,10442.415
T,UEB_NPB_DAA,ATA,2025-10-01,10758.35
T,UEB_NPB_DAA,ATA,2025-11-01,9585.825
T,UEB_NPB_DAA,ATA,2025-12-01,11128.792
T,UEB_NPB_DAA,ATA,2026-01-01,9976.542
