NOGA,ADJUSTMENT,INDICATOR_KE,date,value
G,Y,UEXP,2024-07-01,82.67
G,Y,UEXP,2024-10-01,80.83
G,Y,UEXP,2025-01-01,85.17
G,Y,UEXP,2025-04-01,80.62
G,Y,UEXP,2025-07-01,83.07
G,Y,UEXP,2025-10-01,83.41
G,Y,UEXP,2026-01-01,83.39
G,Y,UINL,2021-01-01,102.3
G,Y,UINL,2021-04-01,99.76
G,Y,UINL,2021-07-01,99.48
G,Y,UINL,2021-10-01,98.46
G,Y,UINL,2022-01-01,114.23
G,Y,UINL,2022-04-01,109.78
G,Y,UINL,2022-07-01,112.14
G,Y,UINL,2022-10-01,110.56
G,Y,UINL,2023-01-01,109.82
G,Y,UINL,2023-04-01,106.7
G,Y,UINL,2023-07-01,103.15
G,Y,UINL,2023-10-01,103.46
G,Y,UINL,2024-01-01,99.6
G,Y,UINL,2024-04-01,100.43
G,Y,UINL,2024-07-01,99.74
G,Y,UINL,2024-10-01,100.04
G,Y,UINL,2025-01-01,100.75
G,Y,UINL,2025-04-01,100.97
G,Y,UINL,2025-07-01,99.87
G,Y,UINL,2025-10-01,98.94
G,Y,UINL,2026-01-01,99.28
G,Y,UTOT,2021-01-01,102.22
G,Y,UTOT,2021-04-01,102.62
G,Y,UTOT,2021-07-01,98.69
G,Y,UTOT,2021-10-01,96.47
G,Y,UTOT,2022-01-01,116.29
G,Y,UTOT,2022-04-01,118.3
G,Y,UTOT,2022-07-01,117.32
G,Y,UTOT,2022-10-01,113.98
G,Y,UTOT,2023-01-01,108.87
G,Y,UTOT,2023-04-01,99.48
G,Y,UTOT,2023-07-01,95.54
G,Y,UTOT,2023-10-01,96.76
G,Y,UTOT,2024-01-01,92.15
G,Y,UTOT,2024-04-01,94.51
G,Y,UTOT,2024-07-01,90.86
G,Y,UTOT,2024-10-01,90.13
G,Y,UTOT,2025-01-01,93.02
G,Y,UTOT,2025-04-01,90.5
G,Y,UTOT,2025-07-01,91.47
G,Y,UTOT,2025-10-01,92
G,Y,UTOT,2026-01-01,91.66
G-NxK,N,UEXP,2021-01-01,102.58
G-NxK,N,UEXP,2021-04-01,100.04
G-NxK,N,UEXP,2021-07-01,97.28
G-NxK,N,UEXP,2021-10-01,100.1
G-NxK,N,UEXP,2022-01-01,121.75
G-NxK,N,UEXP,2022-04-01,122.44
G-NxK,N,UEXP,2022-07-01,121.77
G-NxK,N,UEXP,2022-10-01,124.64
G-NxK,N,UEXP,2023-01-01,112.52
G-NxK,N,UEXP,2023-04-01,96.88
G-NxK,N,UEXP,2023-07-01,91.39
G-NxK,N,UEXP,2023-10-01,97.63
G-NxK,N,UEXP,2024-01-01,87.06
G-NxK,N,UEXP,2024-04-01,91.34
G-NxK,N,UEXP,2024-07-01,86.35
G-NxK,N,UEXP,2024-10-01,89.6
G-NxK,N,UEXP,2025-01-01,89.93
G-NxK,N,UEXP,2025-04-01,83.76
G-NxK,N,UEXP,2025-07-01,85.89
G-NxK,N,UEXP,2025-10-01,91.19
G-NxK,N,UEXP,2026-01-01,88.43
G-NxK,N,UINL,2021-01-01,97.24
G-NxK,N,UINL,2021-04-01,98.17
G-NxK,N,UINL,2021-07-01,97.54
G-NxK,N,UINL,2021-10-01,107.05
G-NxK,N,UINL,2022-01-01,107.81
G-NxK,N,UINL,2022-04-01,108.75
G-NxK,N,UINL,2022-07-01,109.59
G-NxK,N,UINL,2022-10-01,119.08
G-NxK,N,UINL,2023-01-01,107.41
G-NxK,N,UINL,2023-04-01,107.91
G-NxK,N,UINL,2023-07-01,104.36
G-NxK,N,UINL,2023-10-01,114.41
G-NxK,N,UINL,2024-01-01,101.1
G-NxK,N,UINL,2024-04-01,105.31
G-NxK,N,UINL,2024-07-01,103.27
G-NxK,N,UINL,2024-10-01,112.3
G-NxK,N,UINL,2025-01-01,101.44
G-NxK,N,UINL,2025-04-01,105.56
G-NxK,N,UINL,2025-07-01,104.52
G-NxK,N,UINL,2025-10-01,112.04
G-NxK,N,UINL,2026-01-01,101.77
G-NxK,N,UTOT,2021-01-01,98.38
G-NxK,N,UTOT,2021-04-01,99.88
G-NxK,N,UTOT,2021-07-01,97.28
G-NxK,N,UTOT,2021-10-01,104.47
G-NxK,N,UTOT,2022-01-01,111.39
G-NxK,N,UTOT,2022-04-01,114.5
G-NxK,N,UTOT,2022-07-01,113.79
G-NxK,N,UTOT,2022-10-01,120.69
G-NxK,N,UTOT,2023-01-01,108.68
G-NxK,N,UTOT,2023-04-01,103.01
G-NxK,N,UTOT,2023-07-01,99.44
G-NxK,N,UTOT,2023-10-01,108.09
G-NxK,N,UTOT,2024-01-01,96.44
G-NxK,N,UTOT,2024-04-01,100.69
G-NxK,N,UTOT,2024-07-01,97.37
G-NxK,N,UTOT,2024-10-01,104.21
G-NxK,N,UTOT,2025-01-01,97.79
G-NxK,N,UTOT,2025-04-01,97.41
G-NxK,N,UTOT,2025-07-01,98.24
G-NxK,N,UTOT,2025-10-01,105.48
G-NxK,N,UTOT,2026-01-01,98
G-NxK,W,UEXP,2021-01-01,102.5
G-NxK,W,UEXP,2021-04-01,100.74
G-NxK,W,UEXP,2021-07-01,97.21
G-NxK,W,UEXP,2021-10-01,99.55
G-NxK,W,UEXP,2022-01-01,120.87
G-NxK,W,UEXP,2022-04-01,123.33
G-NxK,W,UEXP,2022-07-01,122.48
G-NxK,W,UEXP,2022-10-01,125.62
G-NxK,W,UEXP,2023-01-01,111.45
G-NxK,W,UEXP,2023-04-01,97.84
G-NxK,W,UEXP,2023-07-01,92.58
G-NxK,W,UEXP,2023-10-01,99.1
G-NxK,W,UEXP,2024-01-01,89.23
G-NxK,W,UEXP,2024-04-01,91.65
G-NxK,W,UEXP,2024-07-01,86.83
G-NxK,W,UEXP,2024-10-01,90.33
G-NxK,W,UEXP,2025-01-01,90.31
G-NxK,W,UEXP,2025-04-01,84.61
G-NxK,W,UEXP,2025-07-01,86.38
G-NxK,W,UEXP,2025-10-01,91.87
G-NxK,W,UEXP,2026-01-01,88.76
G-NxK,W,UINL,2021-01-01,97.42
G-NxK,W,UINL,2021-04-01,98.63
G-NxK,W,UINL,2021-07-01,97.44
G-NxK,W,UINL,2021-10-01,106.51
G-NxK,W,UINL,2022-01-01,107.53
G-NxK,W,UINL,2022-04-01,109.26
G-NxK,W,UINL,2022-07-01,110
G-NxK,W,UINL,2022-10-01,119.67
G-NxK,W,UINL,2023-01-01,106.94
G-NxK,W,UINL,2023-04-01,108.57
G-NxK,W,UINL,2023-07-01,105.29
G-NxK,W,UINL,2023-10-01,115.62
G-NxK,W,UINL,2024-01-01,101.8
G-NxK,W,UINL,2024-04-01,105.52
G-NxK,W,UINL,2024-07-01,103.64
G-NxK,W,UINL,2024-10-01,112.9
G-NxK,W,UINL,2025-01-01,102.04
G-NxK,W,UINL,2025-04-01,106.28
G-NxK,W,UINL,2025-07-01,104.86
G-NxK,W,UINL,2025-10-01,112.6
G-NxK,W,UINL,2026-01-01,102.33
G-NxK,W,UTOT,2021-01-01,98.53
G-NxK,W,UTOT,2021-04-01,100.35
G-NxK,W,UTOT,2021-07-01,97.19
G-NxK,W,UTOT,2021-10-01,103.93
G-NxK,W,UTOT,2022-01-01,111.04
G-NxK,W,UTOT,2022-04-01,115.06
G-NxK,W,UTOT,2022-07-01,114.24
G-NxK,W,UTOT,2022-10-01,121.32
G-NxK,W,UTOT,2023-01-01,108.15
G-NxK,W,UTOT,2023-04-01,103.67
G-NxK,W,UTOT,2023-07-01,100.35
G-NxK,W,UTOT,2023-10-01,109.27
G-NxK,W,UTOT,2024-01-01,97.36
G-NxK,W,UTOT,2024-04-01,100.91
