NOGA,ADJUSTMENT,INDICATOR_KE,date,value
41,N,UINL,2023-07-01,94.57
41,N,UINL,2023-10-01,98.58
41,N,UINL,2024-01-01,85.97
41,N,UINL,2024-04-01,109.49
41,N,UINL,2024-07-01,99.95
41,N,UINL,2024-10-01,98.38
41,N,UINL,2025-01-01,89.65
41,N,UINL,2025-04-01,111.36
41,N,UINL,2025-07-01,94.69
41,N,UINL,2025-10-01,110.97
41,N,UINL,2026-01-01,93.44
41,N,UINL,2026-04-01,117.21
41,N,UTOT,1999-01-01,48.78
41,N,UTOT,1999-04-01,71.34
41,N,UTOT,1999-07-01,75.73
41,N,UTOT,1999-10-01,74.05
41,N,UTOT,2000-01-01,55.46
41,N,UTOT,2000-04-01,74.46
41,N,UTOT,2000-07-01,78.35
41,N,UTOT,2000-10-01,76.16
41,N,UTOT,2001-01-01,58.04
41,N,UTOT,2001-04-01,75.32
41,N,UTOT,2001-07-01,79.71
41,N,UTOT,2001-10-01,76.07
41,N,UTOT,2002-01-01,61.68
41,N,UTOT,2002-04-01,77.56
41,N,UTOT,2002-07-01,80.86
41,N,UTOT,2002-10-01,78.21
41,N,UTOT,2003-01-01,56.06
41,N,UTOT,2003-04-01,74.51
41,N,UTOT,2003-07-01,80.63
41,N,UTOT,2003-10-01,75.5
41,N,UTOT,2004-01-01,58.26
41,N,UTOT,2004-04-01,79.93
41,N,UTOT,2004-07-01,86.98
41,N,UTOT,2004-10-01,85.55
41,N,UTOT,2005-01-01,58.97
41,N,UTOT,2005-04-01,91.19
41,N,UTOT,2005-07-01,92.12
41,N,UTOT,2005-10-01,93.89
41,N,UTOT,2006-01-01,62.45
41,N,UTOT,2006-04-01,89.79
41,N,UTOT,2006-07-01,97.01
41,N,UTOT,2006-10-01,96.07
41,N,UTOT,2007-01-01,73.3
41,N,UTOT,2007-04-01,95.61
41,N,UTOT,2007-07-01,99
41,N,UTOT,2007-10-01,95.59
41,N,UTOT,2008-01-01,76.01
41,N,UTOT,2008-04-01,96.78
41,N,UTOT,2008-07-01,100.91
41,N,UTOT,2008-10-01,93.99
41,N,UTOT,2009-01-01,65.27
41,N,UTOT,2009-04-01,89.66
41,N,UTOT,2009-07-01,104.07
41,N,UTOT,2009-10-01,95.16
41,N,UTOT,2010-01-01,66.08
41,N,UTOT,2010-04-01,91.54
41,N,UTOT,2010-07-01,94.87
41,N,UTOT,2010-10-01,97.83
41,N,UTOT,2011-01-01,77.94
41,N,UTOT,2011-04-01,99.31
41,N,UTOT,2011-07-01,102.49
41,N,UTOT,2011-10-01,103.92
41,N,UTOT,2012-01-01,70.69
41,N,UTOT,2012-04-01,100.85
41,N,UTOT,2012-07-01,107.05
41,N,UTOT,2012-10-01,110.29
41,N,UTOT,2013-01-01,75.06
41,N,UTOT,2013-04-01,104.8
41,N,UTOT,2013-07-01,105.84
41,N,UTOT,2013-10-01,113.21
41,N,UTOT,2014-01-01,88.39
41,N,UTOT,2014-04-01,107.79
41,N,UTOT,2014-07-01,114.4
41,N,UTOT,2014-10-01,113.93
41,N,UTOT,2015-01-01,81.61
41,N,UTOT,2015-04-01,104.75
41,N,UTOT,2015-07-01,106.13
41,N,UTOT,2015-10-01,106.11
41,N,UTOT,2016-01-01,76.82
41,N,UTOT,2016-04-01,102.68
41,N,UTOT,2016-07-01,104.14
41,N,UTOT,2016-10-01,105.88
41,N,UTOT,2017-01-01,79.55
41,N,UTOT,2017-04-01,106.46
41,N,UTOT,2017-07-01,104.3
41,N,UTOT,2017-10-01,105.94
41,N,UTOT,2018-01-01,82.17
41,N,UTOT,2018-04-01,111.75
41,N,UTOT,2018-07-01,103.17
41,N,UTOT,2018-10-01,104.71
41,N,UTOT,2019-01-01,80.55
41,N,UTOT,2019-04-01,106.26
41,N,UTOT,2019-07-01,103.77
41,N,UTOT,2019-10-01,105
41,N,UTOT,2020-01-01,81.6
41,N,UTOT,2020-04-01,100.24
41,N,UTOT,2020-07-01,98.14
41,N,UTOT,2020-10-01,103.71
41,N,UTOT,2021-01-01,82.85
41,N,UTOT,2021-04-01,106.21
41,N,UTOT,2021-07-01,103.28
41,N,UTOT,2021-10-01,107.66
41,N,UTOT,2022-01-01,88.89
41,N,UTOT,2022-04-01,115.5
41,N,UTOT,2022-07-01,103.13
41,N,UTOT,2022-10-01,108.89
41,N,UTOT,2023-01-01,88.78
41,N,UTOT,2023-04-01,110.7
41,N,UTOT,2023-07-01,94.57
41,N,UTOT,2023-10-01,98.58
41,N,UTOT,2024-01-01,85.97
41,N,UTOT,2024-04-01,109.49
41,N,UTOT,2024-07-01,99.95
41,N,UTOT,2024-10-01,98.38
41,N,UTOT,2025-01-01,89.65
41,N,UTOT,2025-04-01,111.36
41,N,UTOT,2025-07-01,94.69
41,N,UTOT,2025-10-01,110.97
41,N,UTOT,2026-01-01,93.44
41,N,UTOT,2026-04-01,117.21
41,W,PTOT,1999-01-01,63.28
41,W,PTOT,1999-04-01,92.2
41,W,PTOT,1999-07-01,96.31
41,W,PTOT,1999-10-01,92.92
41,W,PTOT,2000-01-01,68.52
41,W,PTOT,2000-04-01,92.37
41,W,PTOT,2000-07-01,96.12
41,W,PTOT,2000-10-01,92.34
41,W,PTOT,2001-01-01,69.14
41,W,PTOT,2001-04-01,89.52
41,W,PTOT,2001-07-01,95.24
41,W,PTOT,2001-10-01,90.81
41,W,PTOT,2002-01-01,74.41
41,W,PTOT,2002-04-01,92.95
41,W,PTOT,2002-07-01,97.71
41,W,PTOT,2002-10-01,95.22
41,W,PTOT,2003-01-01,69.11
41,W,PTOT,2003-04-01,92.94
41,W,PTOT,2003-07-01,100.33
41,W,PTOT,2003-10-01,94.16
41,W,PTOT,2004-01-01,72.37
41,W,PTOT,2004-04-01,99.94
41,W,PTOT,2004-07-01,106.82
41,W,PTOT,2004-10-01,103.48
41,W,PTOT,2005-01-01,72.12
41,W,PTOT,2005-04-01,109.56
41,W,PTOT,2005-07-01,111.34
41,W,PTOT,2005-10-01,113.21
41,W,PTOT,2006-01-01,74.12
41,W,PTOT,2006-04-01,107.12
41,W,PTOT,2006-07-01,114.39
41,W,PTOT,2006-10-01,111.92
41,W,PTOT,2007-01-01,83.93
41,W,PTOT,2007-04-01,109.28
41,W,PTOT,2007-07-01,112.49
41,W,PTOT,2007-10-01,107.34
41,W,PTOT,2008-01-01,84.89
41,W,PTOT,2008-04-01,105.23
41,W,PTOT,2008-07-01,109.75
41,W,PTOT,2008-10-01,101.42
41,W,PTOT,2009-01-01,71.46
41,W,PTOT,2009-04-01,99.55
41,W,PTOT,2009-07-01,114.74
41,W,PTOT,2009-10-01,105.22
41,W,PTOT,2010-01-01,73.23
41,W,PTOT,2010-04-01,101.49
41,W,PTOT,2010-07-01,103.68
41,W,PTOT,2010-10-01,105.68
41,W,PTOT,2011-01-01,83.73
41,W,PTOT,2011-04-01,106.49
41,W,PTOT,2011-07-01,109.57
41,W,PTOT,2011-10-01,111.06
41,W,PTOT,2012-01-01,74.79
41,W,PTOT,2012-04-01,108.17
41,W,PTOT,2012-07-01,114.89
41,W,PTOT,2012-10-01,117.73
41,W,PTOT,2013-01-01,80.42
41,W,PTOT,2013-04-01,110.79
41,W,PTOT,2013-07-01,111.8
41,W,PTOT,2013-10-01,119.4
41,W,PTOT,2014-01-01,93.64
41,W,PTOT,2014-04-01,114.6
41,W,PTOT,2014-07-01,121.54
41,W,PTOT,2014-10-01,121.53
41,W,PTOT,2015-01-01,87.57
41,W,PTOT,2015-04-01,112.99
41,W,PTOT,2015-07-01,113.07
41,W,PTOT,2015-10-01,112.8
41,W,PTOT,2016-01-01,82.32
41,W,PTOT,2016-04-01,108.66
41,W,PTOT,2016-07-01,111.24
41,W,PTOT,2016-10-01,113.22
41,W,PTOT,2017-01-01,84.07
41,W,PTOT,2017-04-01,113.52
41,W,PTOT,2017-07-01,111.03
41,W,PTOT,2017-10-01,112.51
41,W,PTOT,2018-01-01,86.76
41,W,PTOT,2018-04-01,117.19
41,W,PTOT,2018-07-01,109.09
41,W,PTOT,2018-10-01,110.37
41,W,PTOT,2019-01-01,84.77
41,W,PTOT,2019-04-01,111.55
41,W,PTOT,2019-07-01,108.27
