fuel,date,value
DC,2023-10-01,1727
DC,2023-11-01,1969
DC,2023-12-01,2249
DC,2024-01-01,1695
DC,2024-02-01,1704
DC,2024-03-01,2043
DC,2024-04-01,1998
DC,2024-05-01,2401
DC,2024-06-01,2247
DC,2024-07-01,1824
DC,2024-08-01,1402
DC,2024-09-01,1660
DC,2024-10-01,1559
DC,2024-11-01,1476
DC,2024-12-01,2196
DC,2025-01-01,1230
DC,2025-02-01,1261
DC,2025-03-01,1611
DC,2025-04-01,1332
DC,2025-05-01,1381
DC,2025-06-01,1484
DC,2025-07-01,1394
DC,2025-08-01,1097
DC,2025-09-01,1127
DC,2025-10-01,1178
DC,2025-11-01,1234
DC,2025-12-01,1367
DC,2026-01-01,896
DC,2026-02-01,926
DC,2026-03-01,1211
DC,2026-04-01,983
DC,2026-05-01,1009
DC,2026-06-01,1505
DC,2026-07-01,1155
DH,2005-01-01,0
DH,2005-02-01,0
DH,2005-03-01,0
DH,2005-04-01,0
DH,2005-05-01,0
DH,2005-06-01,0
DH,2005-07-01,0
DH,2005-08-01,0
DH,2005-09-01,0
DH,2005-10-01,0
DH,2005-11-01,0
DH,2005-12-01,0
DH,2006-01-01,0
DH,2006-02-01,0
DH,2006-03-01,0
DH,2006-04-01,0
DH,2006-05-01,0
DH,2006-06-01,0
DH,2006-07-01,0
DH,2006-08-01,0
DH,2006-09-01,0
DH,2006-10-01,0
DH,2006-11-01,0
DH,2006-12-01,0
DH,2007-01-01,0
DH,2007-02-01,0
DH,2007-03-01,0
DH,2007-04-01,0
DH,2007-05-01,0
DH,2007-06-01,0
DH,2007-07-01,0
DH,2007-08-01,0
DH,2007-09-01,0
DH,2007-10-01,0
DH,2007-11-01,0
DH,2007-12-01,0
DH,2008-01-01,0
DH,2008-02-01,0
DH,2008-03-01,0
DH,2008-04-01,0
DH,2008-05-01,0
DH,2008-06-01,0
DH,2008-07-01,0
DH,2008-08-01,0
DH,2008-09-01,0
DH,2008-10-01,1
