canton,fuel,date,value
1,DC,2020-08-01,608
1,DC,2020-09-01,687
1,DC,2020-10-01,715
1,DC,2020-11-01,801
1,DC,2020-12-01,781
1,DC,2021-01-01,496
1,DC,2021-02-01,443
1,DC,2021-03-01,670
1,DC,2021-04-01,549
1,DC,2021-05-01,495
1,DC,2021-06-01,471
1,DC,2021-07-01,371
1,DC,2021-08-01,309
1,DC,2021-09-01,285
1,DC,2021-10-01,270
1,DC,2021-11-01,316
1,DC,2021-12-01,415
1,DC,2022-01-01,316
1,DC,2022-02-01,377
1,DC,2022-03-01,361
1,DC,2022-04-01,317
1,DC,2022-05-01,384
1,DC,2022-06-01,419
1,DC,2022-07-01,324
1,DC,2022-08-01,297
1,DC,2022-09-01,404
1,DC,2022-10-01,306
1,DC,2022-11-01,353
1,DC,2022-12-01,365
1,DC,2023-01-01,239
1,DC,2023-02-01,227
1,DC,2023-03-01,356
1,DC,2023-04-01,210
1,DC,2023-05-01,368
1,DC,2023-06-01,400
1,DC,2023-07-01,275
1,DC,2023-08-01,328
1,DC,2023-09-01,281
1,DC,2023-10-01,265
1,DC,2023-11-01,282
1,DC,2023-12-01,439
1,DC,2024-01-01,232
1,DC,2024-02-01,233
1,DC,2024-03-01,310
1,DC,2024-04-01,274
1,DC,2024-05-01,338
1,DC,2024-06-01,283
1,DC,2024-07-01,274
1,DC,2024-08-01,233
1,DC,2024-09-01,286
1,DC,2024-10-01,225
1,DC,2024-11-01,231
1,DC,2024-12-01,310
1,DC,2025-01-01,209
1,DC,2025-02-01,205
1,DC,2025-03-01,263
1,DC,2025-04-01,184
1,DC,2025-05-01,189
1,DC,2025-06-01,259
1,DC,2025-07-01,213
1,DC,2025-08-01,176
1,DC,2025-09-01,186
1,DC,2025-10-01,174
1,DC,2025-11-01,199
1,DC,2025-12-01,174
1,DC,2026-01-01,126
1,DC,2026-02-01,133
1,DC,2026-03-01,156
1,DC,2026-04-01,143
1,DC,2026-05-01,105
1,DC,2026-06-01,179
1,DC,2026-07-01,160
1,DC,2026-08-01,109
1,DH,2005-01-01,0
1,DH,2005-02-01,0
1,DH,2005-03-01,0
1,DH,2005-04-01,0
1,DH,2005-05-01,0
1,DH,2005-06-01,0
1,DH,2005-07-01,0
1,DH,2005-08-01,0
1,DH,2005-09-01,0
1,DH,2005-10-01,0
1,DH,2005-11-01,0
1,DH,2005-12-01,0
1,DH,2006-01-01,0
1,DH,2006-02-01,0
1,DH,2006-03-01,0
1,DH,2006-04-01,0
1,DH,2006-05-01,0
1,DH,2006-06-01,0
1,DH,2006-07-01,0
1,DH,2006-08-01,0
1,DH,2006-09-01,0
1,DH,2006-10-01,0
1,DH,2006-11-01,0
1,DH,2006-12-01,0
1,DH,2007-01-01,0
1,DH,2007-02-01,0
1,DH,2007-03-01,0
1,DH,2007-04-01,0
1,DH,2007-05-01,0
1,DH,2007-06-01,0
1,DH,2007-07-01,0
1,DH,2007-08-01,0
1,DH,2007-09-01,0
1,DH,2007-10-01,0
1,DH,2007-11-01,0
1,DH,2007-12-01,0
1,DH,2008-01-01,0
1,DH,2008-02-01,0
1,DH,2008-03-01,0
1,DH,2008-04-01,0
1,DH,2008-05-01,0
1,DH,2008-06-01,0
1,DH,2008-07-01,0
1,DH,2008-08-01,0
1,DH,2008-09-01,0
1,DH,2008-10-01,0
1,DH,2008-11-01,0
1,DH,2008-12-01,0
1,DH,2009-01-01,0
1,DH,2009-02-01,0
1,DH,2009-03-01,0
1,DH,2009-04-01,0
1,DH,2009-05-01,0
1,DH,2009-06-01,0
1,DH,2009-07-01,0
1,DH,2009-08-01,0
1,DH,2009-09-01,0
1,DH,2009-10-01,0
1,DH,2009-11-01,0
