canton,fuel,date,value
11,HD,2013-11-01,2
11,HD,2013-12-01,2
11,HD,2014-01-01,0
11,HD,2014-02-01,0
11,HD,2014-03-01,1
11,HD,2014-04-01,0
11,HD,2014-05-01,0
11,HD,2014-06-01,0
11,HD,2014-07-01,0
11,HD,2014-08-01,0
11,HD,2014-09-01,0
11,HD,2014-10-01,0
11,HD,2014-11-01,0
11,HD,2014-12-01,1
11,HD,2015-01-01,0
11,HD,2015-02-01,0
11,HD,2015-03-01,0
11,HD,2015-04-01,0
11,HD,2015-05-01,1
11,HD,2015-06-01,0
11,HD,2015-07-01,0
11,HD,2015-08-01,0
11,HD,2015-09-01,1
11,HD,2015-10-01,0
11,HD,2015-11-01,0
11,HD,2015-12-01,5
11,HD,2016-01-01,1
11,HD,2016-02-01,0
11,HD,2016-03-01,0
11,HD,2016-04-01,0
11,HD,2016-05-01,0
11,HD,2016-06-01,0
11,HD,2016-07-01,1
11,HD,2016-08-01,0
11,HD,2016-09-01,0
11,HD,2016-10-01,0
11,HD,2016-11-01,0
11,HD,2016-12-01,1
11,HD,2017-01-01,1
11,HD,2017-02-01,0
11,HD,2017-03-01,0
11,HD,2017-04-01,0
11,HD,2017-05-01,0
11,HD,2017-06-01,1
11,HD,2017-07-01,0
11,HD,2017-08-01,0
11,HD,2017-09-01,0
11,HD,2017-10-01,0
11,HD,2017-11-01,0
11,HD,2017-12-01,1
11,HD,2018-01-01,0
11,HD,2018-02-01,0
11,HD,2018-03-01,0
11,HD,2018-04-01,1
11,HD,2018-05-01,0
11,HD,2018-06-01,0
11,HD,2018-07-01,0
11,HD,2018-08-01,0
11,HD,2018-09-01,0
11,HD,2018-10-01,0
11,HD,2018-11-01,0
11,HD,2018-12-01,0
11,HD,2019-01-01,0
11,HD,2019-02-01,0
11,HD,2019-03-01,0
11,HD,2019-04-01,0
11,HD,2019-05-01,0
11,HD,2019-06-01,0
11,HD,2019-07-01,0
11,HD,2019-08-01,0
11,HD,2019-09-01,0
11,HD,2019-10-01,0
11,HD,2019-11-01,0
11,HD,2019-12-01,0
11,HD,2020-01-01,0
11,HD,2020-02-01,0
11,HD,2020-03-01,0
11,HD,2020-04-01,0
11,HD,2020-05-01,0
11,HD,2020-06-01,0
11,HD,2020-07-01,0
11,HD,2020-08-01,0
11,HD,2020-09-01,1
11,HD,2020-10-01,0
11,HD,2020-11-01,0
11,HD,2020-12-01,0
11,HD,2021-01-01,0
11,HD,2021-02-01,1
11,HD,2021-03-01,1
11,HD,2021-04-01,0
11,HD,2021-05-01,1
11,HD,2021-06-01,2
11,HD,2021-07-01,1
11,HD,2021-08-01,1
11,HD,2021-09-01,0
11,HD,2021-10-01,1
11,HD,2021-11-01,0
11,HD,2021-12-01,0
11,HD,2022-01-01,1
11,HD,2022-02-01,0
11,HD,2022-03-01,2
11,HD,2022-04-01,2
11,HD,2022-05-01,0
11,HD,2022-06-01,0
11,HD,2022-07-01,0
11,HD,2022-08-01,0
11,HD,2022-09-01,0
11,HD,2022-10-01,0
11,HD,2022-11-01,1
11,HD,2022-12-01,0
11,HD,2023-01-01,0
11,HD,2023-02-01,2
11,HD,2023-03-01,0
11,HD,2023-04-01,0
11,HD,2023-05-01,0
11,HD,2023-06-01,2
11,HD,2023-07-01,0
11,HD,2023-08-01,0
11,HD,2023-09-01,0
11,HD,2023-10-01,0
11,HD,2023-11-01,1
11,HD,2023-12-01,2
11,HD,2024-01-01,1
11,HD,2024-02-01,0
11,HD,2024-03-01,2
11,HD,2024-04-01,0
11,HD,2024-05-01,0
11,HD,2024-06-01,1
11,HD,2024-07-01,0
11,HD,2024-08-01,1
11,HD,2024-09-01,1
11,HD,2024-10-01,0
11,HD,2024-11-01,0
11,HD,2024-12-01,2
11,HD,2025-01-01,0
11,HD,2025-02-01,0
11,HD,2025-03-01,2
11,HD,2025-04-01,2
11,HD,2025-05-01,1
11,HD,2025-06-01,2
11,HD,2025-07-01,0
11,HD,2025-08-01,0
11,HD,2025-09-01,1
11,HD,2025-10-01,1
11,HD,2025-11-01,0
11,HD,2025-12-01,1
11,HD,2026-01-01,2
11,HD,2026-02-01,0
11,HD,2026-03-01,4
11,HD,2026-04-01,2
11,HD,2026-05-01,0
11,HD,2026-06-01,1
11,HD,2026-07-01,0
11,HD,2026-08-01,1
11,HP,2005-01-01,0
11,HP,2005-02-01,0
11,HP,2005-03-01,0
11,HP,2005-04-01,0
11,HP,2005-05-01,0
11,HP,2005-06-01,0
11,HP,2005-07-01,0
11,HP,2005-08-01,0
11,HP,2005-09-01,0
11,HP,2005-10-01,0
11,HP,2005-11-01,0
11,HP,2005-12-01,0
11,HP,2006-01-01,0
11,HP,2006-02-01,0
11,HP,2006-03-01,0
11,HP,2006-04-01,0
11,HP,2006-05-01,0
11,HP,2006-06-01,0
11,HP,2006-07-01,0
11,HP,2006-08-01,0
11,HP,2006-09-01,0
11,HP,2006-10-01,0
11,HP,2006-11-01,0
11,HP,2006-12-01,0
11,HP,2007-01-01,0
11,HP,2007-02-01,0
11,HP,2007-03-01,0
11,HP,2007-04-01,0
11,HP,2007-05-01,0
11,HP,2007-06-01,0
11,HP,2007-07-01,0
11,HP,2007-08-01,0
11,HP,2007-09-01,0
11,HP,2007-10-01,0
11,HP,2007-11-01,0
11,HP,2007-12-01,0
11,HP,2008-01-01,0
11,HP,2008-02-01,0
11,HP,2008-03-01,0
11,HP,2008-04-01,0
11,HP,2008-05-01,0
11,HP,2008-06-01,0
11,HP,2008-07-01,0
11,HP,2008-08-01,0
11,HP,2008-09-01,0
11,HP,2008-10-01,0
11,HP,2008-11-01,0
11,HP,2008-12-01,0
11,HP,2009-01-01,0
11,HP,2009-02-01,0
11,HP,2009-03-01,0
11,HP,2009-04-01,0
11,HP,2009-05-01,0
11,HP,2009-06-01,0
11,HP,2009-07-01,0
11,HP,2009-08-01,0
11,HP,2009-09-01,0
11,HP,2009-10-01,0
11,HP,2009-11-01,0
11,HP,2009-12-01,0
11,HP,2010-01-01,0
11,HP,2010-02-01,0
11,HP,2010-03-01,0
11,HP,2010-04-01,0
11,HP,2010-05-01,0
11,HP,2010-06-01,0
11,HP,2010-07-01,0
11,HP,2010-08-01,0
11,HP,2010-09-01,0
11,HP,2010-10-01,0
11,HP,2010-11-01,0
11,HP,2010-12-01,0
11,HP,2011-01-01,0
11,HP,2011-02-01,0
11,HP,2011-03-01,0
11,HP,2011-04-01,0
11,HP,2011-05-01,0
11,HP,2011-06-01,0
11,HP,2011-07-01,0
11,HP,2011-08-01,0
11,HP,2011-09-01,0
11,HP,2011-10-01,0
11,HP,2011-11-01,0
11,HP,2011-12-01,0
11,HP,2012-01-01,1
11,HP,2012-02-01,0
11,HP,2012-03-01,2
11,HP,2012-04-01,0
11,HP,2012-05-01,4
11,HP,2012-06-01,2
11,HP,2012-07-01,1
11,HP,2012-08-01,1
11,HP,2012-09-01,0
11,HP,2012-10-01,1
11,HP,2012-11-01,2
11,HP,2012-12-01,0
11,HP,2013-01-01,1
11,HP,2013-02-01,1
11,HP,2013-03-01,0
11,HP,2013-04-01,0
11,HP,2013-05-01,0
11,HP,2013-06-01,1
11,HP,2013-07-01,0
11,HP,2013-08-01,1
11,HP,2013-09-01,0
11,HP,2013-10-01,5
11,HP,2013-11-01,0
11,HP,2013-12-01,0
11,HP,2014-01-01,0
11,HP,2014-02-01,2
11,HP,2014-03-01,3
11,HP,2014-04-01,4
11,HP,2014-05-01,2
11,HP,2014-06-01,3
11,HP,2014-07-01,1
11,HP,2014-08-01,2
11,HP,2014-09-01,8
11,HP,2014-10-01,2
11,HP,2014-11-01,3
11,HP,2014-12-01,3
11,HP,2015-01-01,5
11,HP,2015-02-01,7
11,HP,2015-03-01,4
11,HP,2015-04-01,4
11,HP,2015-05-01,3
11,HP,2015-06-01,3
11,HP,2015-07-01,3
11,HP,2015-08-01,3
11,HP,2015-09-01,6
11,HP,2015-10-01,5
11,HP,2015-11-01,1
11,HP,2015-12-01,6
11,HP,2016-01-01,9
11,HP,2016-02-01,6
11,HP,2016-03-01,9
11,HP,2016-04-01,4
11,HP,2016-05-01,7
11,HP,2016-06-01,6
11,HP,2016-07-01,9
11,HP,2016-08-01,7
11,HP,2016-09-01,6
11,HP,2016-10-01,6
11,HP,2016-11-01,9
11,HP,2016-12-01,11
11,HP,2017-01-01,3
11,HP,2017-02-01,6
11,HP,2017-03-01,4
11,HP,2017-04-01,7
11,HP,2017-05-01,6
11,HP,2017-06-01,10
11,HP,2017-07-01,12
11,HP,2017-08-01,5
11,HP,2017-09-01,10
11,HP,2017-10-01,5
11,HP,2017-11-01,8
11,HP,2017-12-01,7
11,HP,2018-01-01,4
11,HP,2018-02-01,8
11,HP,2018-03-01,9
11,HP,2018-04-01,2
11,HP,2018-05-01,5
11,HP,2018-06-01,7
11,HP,2018-07-01,6
11,HP,2018-08-01,4
11,HP,2018-09-01,4
11,HP,2018-10-01,25
11,HP,2018-11-01,11
11,HP,2018-12-01,18
11,HP,2019-01-01,6
11,HP,2019-02-01,4
11,HP,2019-03-01,13
11,HP,2019-04-01,7
11,HP,2019-05-01,2
11,HP,2019-06-01,4
11,HP,2019-07-01,3
11,HP,2019-08-01,7
11,HP,2019-09-01,6
11,HP,2019-10-01,8
11,HP,2019-11-01,8
11,HP,2019-12-01,23
11,HP,2020-01-01,12
11,HP,2020-02-01,6
11,HP,2020-03-01,27
11,HP,2020-04-01,11
11,HP,2020-05-01,22
11,HP,2020-06-01,30
11,HP,2020-07-01,23
11,HP,2020-08-01,30
11,HP,2020-09-01,36
11,HP,2020-10-01,38
11,HP,2020-11-01,43
11,HP,2020-12-01,67
11,HP,2021-01-01,21
11,HP,2021-02-01,24
11,HP,2021-03-01,46
11,HP,2021-04-01,46
11,HP,2021-05-01,36
11,HP,2021-06-01,45
11,HP,2021-07-01,46
11,HP,2021-08-01,30
11,HP,2021-09-01,39
11,HP,2021-10-01,36
11,HP,2021-11-01,54
11,HP,2021-12-01,63
11,HP,2022-01-01,46
11,HP,2022-02-01,37
11,HP,2022-03-01,50
11,HP,2022-04-01,26
11,HP,2022-05-01,29
11,HP,2022-06-01,33
11,HP,2022-07-01,33
11,HP,2022-08-01,33
11,HP,2022-09-01,35
11,HP,2022-10-01,34
11,HP,2022-11-01,41
11,HP,2022-12-01,32
11,HP,2023-01-01,41
11,HP,2023-02-01,35
11,HP,2023-03-01,62
11,HP,2023-04-01,41
11,HP,2023-05-01,50
11,HP,2023-06-01,57
11,HP,2023-07-01,46
11,HP,2023-08-01,35
11,HP,2023-09-01,51
11,HP,2023-10-01,38
11,HP,2023-11-01,50
11,HP,2023-12-01,63
11,HP,2024-01-01,44
11,HP,2024-02-01,36
11,HP,2024-03-01,40
11,HP,2024-04-01,39
11,HP,2024-05-01,34
11,HP,2024-06-01,43
11,HP,2024-07-01,28
11,HP,2024-08-01,30
11,HP,2024-09-01,43
11,HP,2024-10-01,40
11,HP,2024-11-01,40
11,HP,2024-12-01,50
11,HP,2025-01-01,28
11,HP,2025-02-01,37
11,HP,2025-03-01,43
11,HP,2025-04-01,43
11,HP,2025-05-01,53
11,HP,2025-06-01,54
11,HP,2025-07-01,54
11,HP,2025-08-01,44
11,HP,2025-09-01,61
11,HP,2025-10-01,75
11,HP,2025-11-01,58
11,HP,2025-12-01,52
11,HP,2026-01-01,45
11,HP,2026-02-01,36
11,HP,2026-03-01,64
11,HP,2026-04-01,52
11,HP,2026-05-01,50
11,HP,2026-06-01,58
11,HP,2026-07-01,52
11,HP,2026-08-01,42
11,NM,2005-01-01,0
11,NM,2005-02-01,0
11,NM,2005-03-01,0
11,NM,2005-04-01,0
11,NM,2005-05-01,0
11,NM,2005-06-01,0
11,NM,2005-07-01,0
11,NM,2005-08-01,0
11,NM,2005-09-01,0
11,NM,2005-10-01,0
11,NM,2005-11-01,0
11,NM,2005-12-01,0
11,NM,2006-01-01,0
11,NM,2006-02-01,0
11,NM,2006-03-01,0
11,NM,2006-04-01,0
11,NM,2006-05-01,0
11,NM,2006-06-01,0
11,NM,2006-07-01,0
11,NM,2006-08-01,0
11,NM,2006-09-01,0
11,NM,2006-10-01,0
11,NM,2006-11-01,0
11,NM,2006-12-01,0
11,NM,2007-01-01,0
11,NM,2007-02-01,0
11,NM,2007-03-01,0
11,NM,2007-04-01,0
11,NM,2007-05-01,0
11,NM,2007-06-01,0
11,NM,2007-07-01,0
11,NM,2007-08-01,0
11,NM,2007-09-01,0
11,NM,2007-10-01,0
11,NM,2007-11-01,0
11,NM,2007-12-01,0
11,NM,2008-01-01,0
11,NM,2008-02-01,0
11,NM,2008-03-01,0
11,NM,2008-04-01,0
11,NM,2008-05-01,0
11,NM,2008-06-01,0
11,NM,2008-07-01,0
11,NM,2008-08-01,0
11,NM,2008-09-01,0
11,NM,2008-10-01,0
11,NM,2008-11-01,0
11,NM,2008-12-01,0
11,NM,2009-01-01,0
11,NM,2009-02-01,0
11,NM,2009-03-01,0
11,NM,2009-04-01,0
11,NM,2009-05-01,0
11,NM,2009-06-01,0
11,NM,2009-07-01,0
11,NM,2009-08-01,0
11,NM,2009-09-01,0
11,NM,2009-10-01,0
11,NM,2009-11-01,0
11,NM,2009-12-01,0
11,NM,2010-01-01,0
11,NM,2010-02-01,0
11,NM,2010-03-01,0
11,NM,2010-04-01,0
11,NM,2010-05-01,0
11,NM,2010-06-01,0
11,NM,2010-07-01,0
11,NM,2010-08-01,0
11,NM,2010-09-01,0
11,NM,2010-10-01,0
11,NM,2010-11-01,0
11,NM,2010-12-01,0
11,NM,2011-01-01,0
11,NM,2011-02-01,0
11,NM,2011-03-01,0
11,NM,2011-04-01,0
11,NM,2011-05-01,0
11,NM,2011-06-01,0
11,NM,2011-07-01,0
11,NM,2011-08-01,0
11,NM,2011-09-01,0
11,NM,2011-10-01,0
11,NM,2011-11-01,0
11,NM,2011-12-01,0
11,NM,2012-01-01,0
11,NM,2012-02-01,0
11,NM,2012-03-01,0
11,NM,2012-04-01,0
11,NM,2012-05-01,0
11,NM,2012-06-01,0
11,NM,2012-07-01,0
11,NM,2012-08-01,0
11,NM,2012-09-01,0
11,NM,2012-10-01,0
11,NM,2012-11-01,0
11,NM,2012-12-01,0
11,NM,2013-01-01,0
11,NM,2013-02-01,0
11,NM,2013-03-01,0
11,NM,2013-04-01,0
11,NM,2013-05-01,0
11,NM,2013-06-01,0
11,NM,2013-07-01,0
11,NM,2013-08-01,0
11,NM,2013-09-01,0
11,NM,2013-10-01,0
11,NM,2013-11-01,0
11,NM,2013-12-01,0
11,NM,2014-01-01,0
11,NM,2014-02-01,0
11,NM,2014-03-01,0
11,NM,2014-04-01,0
11,NM,2014-05-01,0
11,NM,2014-06-01,0
11,NM,2014-07-01,0
11,NM,2014-08-01,0
11,NM,2014-09-01,0
11,NM,2014-10-01,0
11,NM,2014-11-01,0
11,NM,2014-12-01,0
11,NM,2015-01-01,0
11,NM,2015-02-01,0
11,NM,2015-03-01,0
11,NM,2015-04-01,0
11,NM,2015-05-01,0
11,NM,2015-06-01,0
11,NM,2015-07-01,0
11,NM,2015-08-01,0
11,NM,2015-09-01,0
11,NM,2015-10-01,0
11,NM,2015-11-01,0
11,NM,2015-12-01,0
11,NM,2016-01-01,0
11,NM,2016-02-01,0
11,NM,2016-03-01,0
11,NM,2016-04-01,0
11,NM,2016-05-01,0
11,NM,2016-06-01,0
11,NM,2016-07-01,0
11,NM,2016-08-01,0
11,NM,2016-09-01,0
11,NM,2016-10-01,0
11,NM,2016-11-01,0
11,NM,2016-12-01,0
11,NM,2017-01-01,0
11,NM,2017-02-01,0
11,NM,2017-03-01,0
11,NM,2017-04-01,0
11,NM,2017-05-01,0
11,NM,2017-06-01,0
11,NM,2017-07-01,0
11,NM,2017-08-01,0
11,NM,2017-09-01,0
11,NM,2017-10-01,0
11,NM,2017-11-01,0
11,NM,2017-12-01,0
11,NM,2018-01-01,0
11,NM,2018-02-01,0
11,NM,2018-03-01,0
11,NM,2018-04-01,0
11,NM,2018-05-01,0
11,NM,2018-06-01,0
11,NM,2018-07-01,0
11,NM,2018-08-01,0
11,NM,2018-09-01,0
11,NM,2018-10-01,0
11,NM,2018-11-01,0
11,NM,2018-12-01,0
11,NM,2019-01-01,0
11,NM,2019-02-01,0
11,NM,2019-03-01,0
11,NM,2019-04-01,0
11,NM,2019-05-01,0
11,NM,2019-06-01,0
11,NM,2019-07-01,0
11,NM,2019-08-01,0
11,NM,2019-09-01,0
11,NM,2019-10-01,0
11,NM,2019-11-01,0
11,NM,2019-12-01,0
11,NM,2020-01-01,0
11,NM,2020-02-01,0
11,NM,2020-03-01,0
11,NM,2020-04-01,0
11,NM,2020-05-01,0
11,NM,2020-06-01,0
11,NM,2020-07-01,0
11,NM,2020-08-01,0
11,NM,2020-09-01,0
11,NM,2020-10-01,0
11,NM,2020-11-01,0
11,NM,2020-12-01,0
11,NM,2021-01-01,0
11,NM,2021-02-01,0
11,NM,2021-03-01,0
11,NM,2021-04-01,0
11,NM,2021-05-01,0
11,NM,2021-06-01,0
11,NM,2021-07-01,0
11,NM,2021-08-01,0
11,NM,2021-09-01,0
11,NM,2021-10-01,0
11,NM,2021-11-01,0
11,NM,2021-12-01,0
11,NM,2022-01-01,0
11,NM,2022-02-01,0
11,NM,2022-03-01,0
11,NM,2022-04-01,0
11,NM,2022-05-01,0
11,NM,2022-06-01,0
11,NM,2022-07-01,0
11,NM,2022-08-01,0
11,NM,2022-09-01,0
11,NM,2022-10-01,0
11,NM,2022-11-01,0
11,NM,2022-12-01,0
11,NM,2023-01-01,0
11,NM,2023-02-01,0
11,NM,2023-03-01,0
11,NM,2023-04-01,0
11,NM,2023-05-01,0
11,NM,2023-06-01,0
11,NM,2023-07-01,0
11,NM,2023-08-01,0
11,NM,2023-09-01,0
11,NM,2023-10-01,0
11,NM,2023-11-01,0
11,NM,2023-12-01,0
11,NM,2024-01-01,0
11,NM,2024-02-01,0
11,NM,2024-03-01,0
11,NM,2024-04-01,0
11,NM,2024-05-01,0
11,NM,2024-06-01,0
11,NM,2024-07-01,0
11,NM,2024-08-01,0
11,NM,2024-09-01,0
11,NM,2024-10-01,0
11,NM,2024-11-01,0
11,NM,2024-12-01,0
11,NM,2025-01-01,0
11,NM,2025-02-01,0
11,NM,2025-03-01,0
11,NM,2025-04-01,0
11,NM,2025-05-01,0
11,NM,2025-06-01,0
11,NM,2025-07-01,0
11,NM,2025-08-01,0
11,NM,2025-09-01,0
11,NM,2025-10-01,0
11,NM,2025-11-01,0
11,NM,2025-12-01,0
11,NM,2026-01-01,0
11,NM,2026-02-01,0
11,NM,2026-03-01,0
11,NM,2026-04-01,0
11,NM,2026-05-01,0
11,NM,2026-06-01,0
11,NM,2026-07-01,0
11,NM,2026-08-01,0
11,PC,2005-01-01,300
11,PC,2005-02-01,296
11,PC,2005-03-01,467
11,PC,2005-04-01,523
11,PC,2005-05-01,495
11,PC,2005-06-01,470
11,PC,2005-07-01,279
11,PC,2005-08-01,278
11,PC,2005-09-01,349
11,PC,2005-10-01,346
11,PC,2005-11-01,352
11,PC,2005-12-01,334
11,PC,2006-01-01,461
11,PC,2006-02-01,354
11,PC,2006-03-01,697
11,PC,2006-04-01,611
11,PC,2006-05-01,653
11,PC,2006-06-01,668
11,PC,2006-07-01,421
11,PC,2006-08-01,375
11,PC,2006-09-01,450
11,PC,2006-10-01,472
11,PC,2006-11-01,478
11,PC,2006-12-01,407
11,PC,2007-01-01,409
11,PC,2007-02-01,394
11,PC,2007-03-01,607
11,PC,2007-04-01,539
11,PC,2007-05-01,594
11,PC,2007-06-01,678
11,PC,2007-07-01,435
11,PC,2007-08-01,422
11,PC,2007-09-01,468
11,PC,2007-10-01,466
11,PC,2007-11-01,520
11,PC,2007-12-01,382
11,PC,2008-01-01,460
11,PC,2008-02-01,449
11,PC,2008-03-01,546
11,PC,2008-04-01,590
11,PC,2008-05-01,572
11,PC,2008-06-01,621
11,PC,2008-07-01,506
11,PC,2008-08-01,418
11,PC,2008-09-01,449
11,PC,2008-10-01,503
11,PC,2008-11-01,374
11,PC,2008-12-01,438
11,PC,2009-01-01,377
11,PC,2009-02-01,387
11,PC,2009-03-01,589
11,PC,2009-04-01,606
11,PC,2009-05-01,506
11,PC,2009-06-01,521
11,PC,2009-07-01,487
11,PC,2009-08-01,416
11,PC,2009-09-01,464
11,PC,2009-10-01,507
11,PC,2009-11-01,472
11,PC,2009-12-01,439
11,PC,2010-01-01,396
11,PC,2010-02-01,410
11,PC,2010-03-01,675
11,PC,2010-04-01,597
11,PC,2010-05-01,589
11,PC,2010-06-01,721
11,PC,2010-07-01,499
11,PC,2010-08-01,430
11,PC,2010-09-01,496
11,PC,2010-10-01,524
11,PC,2010-11-01,576
11,PC,2010-12-01,498
11,PC,2011-01-01,429
11,PC,2011-02-01,472
11,PC,2011-03-01,656
11,PC,2011-04-01,645
11,PC,2011-05-01,612
11,PC,2011-06-01,582
11,PC,2011-07-01,447
11,PC,2011-08-01,433
11,PC,2011-09-01,579
11,PC,2011-10-01,575
11,PC,2011-11-01,578
11,PC,2011-12-01,595
11,PC,2012-01-01,446
11,PC,2012-02-01,453
11,PC,2012-03-01,708
11,PC,2012-04-01,575
11,PC,2012-05-01,587
11,PC,2012-06-01,721
11,PC,2012-07-01,454
11,PC,2012-08-01,428
11,PC,2012-09-01,394
11,PC,2012-10-01,455
11,PC,2012-11-01,501
11,PC,2012-12-01,493
11,PC,2013-01-01,349
11,PC,2013-02-01,399
11,PC,2013-03-01,558
11,PC,2013-04-01,553
11,PC,2013-05-01,505
11,PC,2013-06-01,491
11,PC,2013-07-01,455
11,PC,2013-08-01,405
11,PC,2013-09-01,409
11,PC,2013-10-01,434
11,PC,2013-11-01,473
11,PC,2013-12-01,449
11,PC,2014-01-01,364
11,PC,2014-02-01,416
11,PC,2014-03-01,459
11,PC,2014-04-01,499
11,PC,2014-05-01,484
11,PC,2014-06-01,447
11,PC,2014-07-01,462
11,PC,2014-08-01,375
11,PC,2014-09-01,396
11,PC,2014-10-01,471
11,PC,2014-11-01,389
11,PC,2014-12-01,448
11,PC,2015-01-01,313
11,PC,2015-02-01,398
11,PC,2015-03-01,548
11,PC,2015-04-01,539
11,PC,2015-05-01,507
11,PC,2015-06-01,510
11,PC,2015-07-01,480
11,PC,2015-08-01,398
11,PC,2015-09-01,362
11,PC,2015-10-01,397
11,PC,2015-11-01,397
11,PC,2015-12-01,432
11,PC,2016-01-01,324
11,PC,2016-02-01,364
11,PC,2016-03-01,487
11,PC,2016-04-01,467
11,PC,2016-05-01,426
11,PC,2016-06-01,483
11,PC,2016-07-01,387
11,PC,2016-08-01,379
11,PC,2016-09-01,412
11,PC,2016-10-01,393
11,PC,2016-11-01,464
11,PC,2016-12-01,468
11,PC,2017-01-01,325
11,PC,2017-02-01,361
11,PC,2017-03-01,532
11,PC,2017-04-01,409
11,PC,2017-05-01,459
11,PC,2017-06-01,482
11,PC,2017-07-01,381
11,PC,2017-08-01,411
11,PC,2017-09-01,448
11,PC,2017-10-01,428
11,PC,2017-11-01,443
11,PC,2017-12-01,430
11,PC,2018-01-01,420
11,PC,2018-02-01,420
11,PC,2018-03-01,530
11,PC,2018-04-01,515
11,PC,2018-05-01,529
11,PC,2018-06-01,585
11,PC,2018-07-01,471
11,PC,2018-08-01,413
11,PC,2018-09-01,411
11,PC,2018-10-01,426
11,PC,2018-11-01,403
11,PC,2018-12-01,379
11,PC,2019-01-01,403
11,PC,2019-02-01,405
11,PC,2019-03-01,511
11,PC,2019-04-01,517
11,PC,2019-05-01,413
11,PC,2019-06-01,493
11,PC,2019-07-01,435
11,PC,2019-08-01,372
11,PC,2019-09-01,412
11,PC,2019-10-01,460
11,PC,2019-11-01,368
11,PC,2019-12-01,468
11,PC,2020-01-01,300
11,PC,2020-02-01,310
11,PC,2020-03-01,317
11,PC,2020-04-01,158
11,PC,2020-05-01,219
11,PC,2020-06-01,350
11,PC,2020-07-01,280
11,PC,2020-08-01,237
11,PC,2020-09-01,294
11,PC,2020-10-01,297
11,PC,2020-11-01,246
11,PC,2020-12-01,228
11,PC,2021-01-01,188
11,PC,2021-02-01,208
11,PC,2021-03-01,363
11,PC,2021-04-01,289
11,PC,2021-05-01,247
11,PC,2021-06-01,273
11,PC,2021-07-01,227
11,PC,2021-08-01,201
11,PC,2021-09-01,204
11,PC,2021-10-01,154
11,PC,2021-11-01,197
11,PC,2021-12-01,244
11,PC,2022-01-01,199
11,PC,2022-02-01,209
11,PC,2022-03-01,231
11,PC,2022-04-01,166
11,PC,2022-05-01,178
11,PC,2022-06-01,201
11,PC,2022-07-01,159
11,PC,2022-08-01,169
11,PC,2022-09-01,241
11,PC,2022-10-01,185
11,PC,2022-11-01,252
11,PC,2022-12-01,205
11,PC,2023-01-01,165
11,PC,2023-02-01,190
11,PC,2023-03-01,271
11,PC,2023-04-01,170
11,PC,2023-05-01,171
11,PC,2023-06-01,216
11,PC,2023-07-01,165
11,PC,2023-08-01,179
11,PC,2023-09-01,199
11,PC,2023-10-01,153
11,PC,2023-11-01,181
11,PC,2023-12-01,178
11,PC,2024-01-01,129
11,PC,2024-02-01,165
11,PC,2024-03-01,200
11,PC,2024-04-01,154
11,PC,2024-05-01,168
11,PC,2024-06-01,173
11,PC,2024-07-01,144
11,PC,2024-08-01,114
11,PC,2024-09-01,135
11,PC,2024-10-01,150
11,PC,2024-11-01,126
11,PC,2024-12-01,181
11,PC,2025-01-01,120
11,PC,2025-02-01,138
11,PC,2025-03-01,141
11,PC,2025-04-01,146
11,PC,2025-05-01,130
11,PC,2025-06-01,145
11,PC,2025-07-01,124
11,PC,2025-08-01,116
11,PC,2025-09-01,120
11,PC,2025-10-01,98
11,PC,2025-11-01,111
11,PC,2025-12-01,117
11,PC,2026-01-01,83
11,PC,2026-02-01,93
11,PC,2026-03-01,139
11,PC,2026-04-01,100
11,PC,2026-05-01,85
11,PC,2026-06-01,126
11,PC,2026-07-01,79
11,PC,2026-08-01,68
11,PH,2005-01-01,1
11,PH,2005-02-01,0
11,PH,2005-03-01,1
11,PH,2005-04-01,5
11,PH,2005-05-01,2
11,PH,2005-06-01,1
11,PH,2005-07-01,1
11,PH,2005-08-01,3
11,PH,2005-09-01,7
11,PH,2005-10-01,1
11,PH,2005-11-01,5
11,PH,2005-12-01,2
11,PH,2006-01-01,4
11,PH,2006-02-01,5
11,PH,2006-03-01,6
11,PH,2006-04-01,3
11,PH,2006-05-01,6
11,PH,2006-06-01,4
11,PH,2006-07-01,4
11,PH,2006-08-01,2
11,PH,2006-09-01,4
11,PH,2006-10-01,5
11,PH,2006-11-01,6
11,PH,2006-12-01,6
11,PH,2007-01-01,5
11,PH,2007-02-01,3
11,PH,2007-03-01,12
11,PH,2007-04-01,3
11,PH,2007-05-01,4
11,PH,2007-06-01,13
11,PH,2007-07-01,10
11,PH,2007-08-01,14
11,PH,2007-09-01,7
11,PH,2007-10-01,4
11,PH,2007-11-01,7
11,PH,2007-12-01,4
11,PH,2008-01-01,3
11,PH,2008-02-01,3
11,PH,2008-03-01,9
11,PH,2008-04-01,2
11,PH,2008-05-01,8
11,PH,2008-06-01,8
11,PH,2008-07-01,5
11,PH,2008-08-01,5
11,PH,2008-09-01,4
11,PH,2008-10-01,3
11,PH,2008-11-01,3
11,PH,2008-12-01,7
11,PH,2009-01-01,6
11,PH,2009-02-01,8
11,PH,2009-03-01,6
11,PH,2009-04-01,11
11,PH,2009-05-01,6
11,PH,2009-06-01,9
11,PH,2009-07-01,7
11,PH,2009-08-01,9
11,PH,2009-09-01,10
11,PH,2009-10-01,10
11,PH,2009-11-01,14
11,PH,2009-12-01,16
11,PH,2010-01-01,6
11,PH,2010-02-01,8
11,PH,2010-03-01,9
11,PH,2010-04-01,11
11,PH,2010-05-01,11
