index,date,value
internet,2016-09-01,39.6
internet,2016-12-01,38
internet,2017-03-01,44.6
internet,2017-06-01,37.7
internet,2017-09-01,40.6
internet,2017-12-01,38.7
internet,2018-03-01,37.6
internet,2018-06-01,43
internet,2018-09-01,41.2
internet,2018-12-01,40.3
internet,2019-03-01,38.8
internet,2019-06-01,40.6
internet,2019-09-01,37.9
internet,2019-12-01,35.9
internet,2020-03-01,36.4
internet,2020-06-01,28.3
internet,2020-09-01,28.6
internet,2020-12-01,30.3
internet,2021-03-01,30.4
internet,2021-06-01,31.9
internet,2021-09-01,33.9
internet,2021-12-01,34.9
internet,2022-03-01,38.2
internet,2022-06-01,39
internet,2022-09-01,36.8
internet,2022-12-01,41.8
internet,2023-03-01,41.6
internet,2023-06-01,41.1
internet,2023-09-01,38.2
internet,2023-12-01,39
internet,2024-03-01,39
internet,2024-06-01,33.6
internet,2024-09-01,32.9
internet,2024-12-01,32.1
internet,2025-03-01,34.5
internet,2025-06-01,34.1
internet,2025-09-01,33.1
internet,2025-12-01,32.9
internet,2026-03-01,33.8
internet,2026-06-01,31
press,2003-03-01,12.9
press,2004-03-01,12.2
press,2005-03-01,10.3
press,2006-03-01,9.3
press,2007-03-01,12.8
press,2008-03-01,15.3
press,2008-06-01,13.7
press,2008-09-01,12.4
press,2008-12-01,9.5
press,2009-03-01,9.3
press,2009-06-01,8.4
press,2009-09-01,7.7
press,2009-12-01,6.8
press,2010-03-01,8.9
press,2010-06-01,9.1
press,2010-09-01,8.7
press,2010-12-01,7.7
press,2011-03-01,8.4
press,2011-06-01,7.4
press,2011-09-01,7
press,2011-12-01,5
press,2012-03-01,7.3
press,2012-06-01,6.2
press,2012-09-01,5.8
press,2012-12-01,4.7
press,2013-03-01,6.1
press,2013-06-01,5.5
press,2013-09-01,4.9
press,2013-12-01,3.9
press,2014-03-01,5.6
press,2014-06-01,4.7
press,2014-09-01,4.8
press,2014-12-01,4.3
press,2015-03-01,4.9
press,2015-06-01,3.5
press,2015-09-01,3.6
press,2015-12-01,2.7
press,2016-03-01,3
press,2016-06-01,3.3
press,2016-09-01,3.9
press,2016-12-01,2.6
press,2017-03-01,3
press,2017-06-01,2.3
press,2017-09-01,2.5
press,2017-12-01,2.1
press,2018-03-01,2.5
