Tourismusregion,date,value
1,2024-05-01,172322
1,2024-06-01,346319
1,2024-07-01,586562
1,2024-08-01,631809
1,2024-09-01,421150
1,2024-10-01,330025
1,2024-11-01,132394
1,2024-12-01,561351
1,2025-01-01,722789
1,2025-02-01,788445
1,2025-03-01,636632
1,2025-04-01,189083
1,2025-05-01,179998
1,2025-06-01,389260
1,2025-07-01,602179
1,2025-08-01,638928
1,2025-09-01,448052
1,2025-10-01,355502
1,2025-11-01,123854
1,2025-12-01,605217
1,2026-01-01,731023
1,2026-02-01,824749
1,2026-03-01,549594
1,2026-04-01,199084
1,2026-05-01,191238
10,2005-01-01,137974
10,2005-02-01,173680
10,2005-03-01,197116
10,2005-04-01,199075
10,2005-05-01,199888
10,2005-06-01,220343
10,2005-07-01,225025
10,2005-08-01,231790
10,2005-09-01,227535
10,2005-10-01,214427
10,2005-11-01,195509
10,2005-12-01,157433
10,2006-01-01,160955
10,2006-02-01,196118
10,2006-03-01,239806
10,2006-04-01,199780
10,2006-05-01,239505
10,2006-06-01,244542
10,2006-07-01,254327
10,2006-08-01,264682
10,2006-09-01,251410
10,2006-10-01,223223
10,2006-11-01,201539
10,2006-12-01,177280
10,2007-01-01,174598
10,2007-02-01,197392
10,2007-03-01,268076
10,2007-04-01,205464
10,2007-05-01,241557
10,2007-06-01,270601
10,2007-07-01,288613
10,2007-08-01,287573
10,2007-09-01,249659
10,2007-10-01,249577
10,2007-11-01,245321
10,2007-12-01,199181
10,2008-01-01,189529
10,2008-02-01,214556
10,2008-03-01,245235
10,2008-04-01,246068
10,2008-05-01,266960
10,2008-06-01,256869
10,2008-07-01,289660
10,2008-08-01,290566
10,2008-09-01,240892
10,2008-10-01,247041
10,2008-11-01,217570
10,2008-12-01,179164
10,2009-01-01,177493
10,2009-02-01,180524
10,2009-03-01,232866
10,2009-04-01,189973
10,2009-05-01,230497
10,2009-06-01,250886
10,2009-07-01,262870
10,2009-08-01,245818
10,2009-09-01,242711
10,2009-10-01,241123
10,2009-11-01,221181
10,2009-12-01,184649
10,2010-01-01,193776
10,2010-02-01,192992
10,2010-03-01,257171
10,2010-04-01,203383
10,2010-05-01,242547
10,2010-06-01,277285
10,2010-07-01,298366
10,2010-08-01,230693
10,2010-09-01,262952
10,2010-10-01,232350
10,2010-11-01,223966
10,2010-12-01,185041
10,2011-01-01,196310
10,2011-02-01,208655
10,2011-03-01,262417
10,2011-04-01,216322
10,2011-05-01,258590
10,2011-06-01,275760
10,2011-07-01,294794
10,2011-08-01,213916
10,2011-09-01,259516
10,2011-10-01,227584
10,2011-11-01,226976
10,2011-12-01,197389
10,2012-01-01,202584
10,2012-02-01,212830
10,2012-03-01,263111
10,2012-04-01,206977
10,2012-05-01,253235
10,2012-06-01,286237
10,2012-07-01,264374
10,2012-08-01,237749
10,2012-09-01,245917
10,2012-10-01,235909
10,2012-11-01,211795
10,2012-12-01,191362
10,2013-01-01,206963
10,2013-02-01,182895
10,2013-03-01,259723
10,2013-04-01,226275
10,2013-05-01,264301
10,2013-06-01,291605
10,2013-07-01,256285
10,2013-08-01,267473
10,2013-09-01,254279
10,2013-10-01,249929
10,2013-11-01,223148
10,2013-12-01,200369
10,2014-01-01,208497
10,2014-02-01,199306
10,2014-03-01,270007
10,2014-04-01,224612
10,2014-05-01,258183
10,2014-06-01,273126
10,2014-07-01,253680
10,2014-08-01,296569
10,2014-09-01,272302
10,2014-10-01,251950
10,2014-11-01,223134
10,2014-12-01,207802
10,2015-01-01,204696
10,2015-02-01,198419
10,2015-03-01,270591
10,2015-04-01,209786
10,2015-05-01,259141
10,2015-06-01,280234
10,2015-07-01,287434
10,2015-08-01,293416
10,2015-09-01,265078
10,2015-10-01,238786
10,2015-11-01,243460
10,2015-12-01,201618
10,2016-01-01,200319
10,2016-02-01,202286
10,2016-03-01,259447
10,2016-04-01,225194
10,2016-05-01,259214
10,2016-06-01,284086
10,2016-07-01,268962
10,2016-08-01,285367
10,2016-09-01,270641
10,2016-10-01,247892
10,2016-11-01,218459
10,2016-12-01,206328
10,2017-01-01,206590
10,2017-02-01,192913
10,2017-03-01,285092
10,2017-04-01,223637
10,2017-05-01,272273
10,2017-06-01,286363
10,2017-07-01,293263
10,2017-08-01,296714
10,2017-09-01,282314
10,2017-10-01,256576
10,2017-11-01,232274
10,2017-12-01,226426
10,2018-01-01,219640
10,2018-02-01,206775
10,2018-03-01,300018
10,2018-04-01,238966
10,2018-05-01,290610
10,2018-06-01,302448
10,2018-07-01,313535
10,2018-08-01,324083
10,2018-09-01,291876
10,2018-10-01,269290
10,2018-11-01,248210
10,2018-12-01,227420
10,2019-01-01,218317
10,2019-02-01,206931
10,2019-03-01,282563
10,2019-04-01,236979
10,2019-05-01,287102
10,2019-06-01,310096
10,2019-07-01,314805
10,2019-08-01,316455
10,2019-09-01,294411
10,2019-10-01,262844
10,2019-11-01,235105
10,2019-12-01,237366
10,2020-01-01,219047
10,2020-02-01,224536
10,2020-03-01,87453
10,2020-04-01,25603
10,2020-05-01,25927
10,2020-06-01,44197
10,2020-07-01,77685
10,2020-08-01,100236
10,2020-09-01,75902
10,2020-10-01,64634
10,2020-11-01,43519
10,2020-12-01,53149
10,2021-01-01,48900
10,2021-02-01,50201
10,2021-03-01,61662
10,2021-04-01,75847
10,2021-05-01,89585
10,2021-06-01,107854
10,2021-07-01,155236
10,2021-08-01,213925
10,2021-09-01,192723
10,2021-10-01,200795
10,2021-11-01,178424
10,2021-12-01,149597
10,2022-01-01,123136
10,2022-02-01,148328
10,2022-03-01,232137
10,2022-04-01,198703
10,2022-05-01,282772
10,2022-06-01,298523
10,2022-07-01,309991
10,2022-08-01,301030
10,2022-09-01,290795
10,2022-10-01,268808
10,2022-11-01,246894
10,2022-12-01,264307
10,2023-01-01,220557
10,2023-02-01,220323
10,2023-03-01,296547
10,2023-04-01,252371
10,2023-05-01,319390
10,2023-06-01,350149
10,2023-07-01,366360
10,2023-08-01,352265
10,2023-09-01,318024
10,2023-10-01,293247
10,2023-11-01,278208
10,2023-12-01,285862
10,2024-01-01,245054
10,2024-02-01,248121
10,2024-03-01,282729
10,2024-04-01,291380
10,2024-05-01,350330
10,2024-06-01,379296
10,2024-07-01,378234
10,2024-08-01,363591
10,2024-09-01,338218
10,2024-10-01,310355
10,2024-11-01,282807
10,2024-12-01,317656
10,2025-01-01,268402
10,2025-02-01,262364
10,2025-03-01,290893
10,2025-04-01,287255
10,2025-05-01,331389
10,2025-06-01,362602
10,2025-07-01,393868
10,2025-08-01,377591
10,2025-09-01,334567
10,2025-10-01,315999
10,2025-11-01,294351
10,2025-12-01,332196
10,2026-01-01,285602
10,2026-02-01,259624
10,2026-03-01,292137
10,2026-04-01,287955
10,2026-05-01,332194
11,2005-01-01,479899
11,2005-02-01,576546
11,2005-03-01,592710
11,2005-04-01,228385
11,2005-05-01,124162
11,2005-06-01,250397
11,2005-07-01,491445
11,2005-08-01,513409
11,2005-09-01,333551
11,2005-10-01,206488
11,2005-11-01,97551
11,2005-12-01,307216
11,2006-01-01,466157
11,2006-02-01,566436
11,2006-03-01,526125
11,2006-04-01,329288
11,2006-05-01,128653
11,2006-06-01,267071
11,2006-07-01,505216
11,2006-08-01,478754
11,2006-09-01,341330
11,2006-10-01,208788
11,2006-11-01,106181
11,2006-12-01,326647
11,2007-01-01,470125
11,2007-02-01,585596
11,2007-03-01,547601
11,2007-04-01,327235
11,2007-05-01,135264
11,2007-06-01,287048
11,2007-07-01,511326
11,2007-08-01,505675
11,2007-09-01,360204
11,2007-10-01,231145
11,2007-11-01,112289
11,2007-12-01,351221
11,2008-01-01,509973
11,2008-02-01,635272
11,2008-03-01,626356
11,2008-04-01,254999
11,2008-05-01,159994
11,2008-06-01,269388
11,2008-07-01,529882
11,2008-08-01,530502
11,2008-09-01,354776
11,2008-10-01,223647
11,2008-11-01,113009
11,2008-12-01,382230
11,2009-01-01,496330
11,2009-02-01,592903
11,2009-03-01,495419
11,2009-04-01,326806
11,2009-05-01,133113
11,2009-06-01,258421
11,2009-07-01,511434
11,2009-08-01,525847
11,2009-09-01,359713
11,2009-10-01,217147
11,2009-11-01,104449
11,2009-12-01,370745
11,2010-01-01,459197
11,2010-02-01,580468
11,2010-03-01,516241
11,2010-04-01,298368
11,2010-05-01,130569
11,2010-06-01,260484
11,2010-07-01,517349
11,2010-08-01,501963
11,2010-09-01,345196
11,2010-10-01,217064
11,2010-11-01,106813
11,2010-12-01,330897
11,2011-01-01,470329
11,2011-02-01,506472
11,2011-03-01,510571
11,2011-04-01,298939
11,2011-05-01,118673
11,2011-06-01,266072
11,2011-07-01,480564
11,2011-08-01,471506
11,2011-09-01,335596
11,2011-10-01,202268
11,2011-11-01,100568
11,2011-12-01,316256
11,2012-01-01,436776
11,2012-02-01,518419
11,2012-03-01,445862
11,2012-04-01,256725
11,2012-05-01,124244
11,2012-06-01,241720
11,2012-07-01,476817
11,2012-08-01,493738
11,2012-09-01,340946
11,2012-10-01,214705
11,2012-11-01,108983
11,2012-12-01,327234
11,2013-01-01,428925
11,2013-02-01,507684
11,2013-03-01,496637
11,2013-04-01,209120
11,2013-05-01,115797
11,2013-06-01,239000
11,2013-07-01,458822
11,2013-08-01,478791
11,2013-09-01,317733
11,2013-10-01,184918
11,2013-11-01,108261
11,2013-12-01,342024
11,2014-01-01,419855
11,2014-02-01,478012
11,2014-03-01,473006
11,2014-04-01,262167
11,2014-05-01,125049
11,2014-06-01,236476
11,2014-07-01,436198
11,2014-08-01,463815
11,2014-09-01,325322
11,2014-10-01,201723
11,2014-11-01,108874
11,2014-12-01,356848
11,2015-01-01,412802
11,2015-02-01,513483
11,2015-03-01,399577
11,2015-04-01,238724
11,2015-05-01,122890
11,2015-06-01,234191
11,2015-07-01,449249
11,2015-08-01,440194
11,2015-09-01,304908
11,2015-10-01,193482
11,2015-11-01,98503
11,2015-12-01,330423
11,2016-01-01,373871
11,2016-02-01,489234
11,2016-03-01,453181
11,2016-04-01,195246
11,2016-05-01,121818
11,2016-06-01,210277
11,2016-07-01,439768
11,2016-08-01,444281
11,2016-09-01,312983
11,2016-10-01,210378
11,2016-11-01,99694
11,2016-12-01,317641
11,2017-01-01,402247
11,2017-02-01,496823
11,2017-03-01,433742
11,2017-04-01,262414
11,2017-05-01,131086
11,2017-06-01,262674
11,2017-07-01,472994
11,2017-08-01,467822
11,2017-09-01,333009
11,2017-10-01,225049
11,2017-11-01,103551
11,2017-12-01,331849
11,2018-01-01,423531
11,2018-02-01,541475
11,2018-03-01,481197
11,2018-04-01,257805
11,2018-05-01,141720
11,2018-06-01,269562
11,2018-07-01,481174
11,2018-08-01,496629
11,2018-09-01,360029
11,2018-10-01,216744
11,2018-11-01,106453
11,2018-12-01,353025
11,2019-01-01,419289
11,2019-02-01,512496
11,2019-03-01,490177
11,2019-04-01,281514
11,2019-05-01,151860
11,2019-06-01,298656
11,2019-07-01,515949
11,2019-08-01,501645
11,2019-09-01,370880
11,2019-10-01,224699
11,2019-11-01,119415
11,2019-12-01,373370
11,2020-01-01,453184
11,2020-02-01,573118
11,2020-03-01,195990
11,2020-04-01,9623
11,2020-05-01,40338
11,2020-06-01,139579
11,2020-07-01,459383
11,2020-08-01,455440
11,2020-09-01,337844
11,2020-10-01,226415
11,2020-11-01,74847
11,2020-12-01,261308
11,2021-01-01,228946
11,2021-02-01,394709
11,2021-03-01,324712
11,2021-04-01,230803
11,2021-05-01,120260
11,2021-06-01,182826
11,2021-07-01,430184
11,2021-08-01,524635
11,2021-09-01,349355
11,2021-10-01,263091
11,2021-11-01,110659
11,2021-12-01,343911
11,2022-01-01,405491
11,2022-02-01,528087
11,2022-03-01,482350
11,2022-04-01,288714
11,2022-05-01,143250
11,2022-06-01,265183
11,2022-07-01,482513
11,2022-08-01,490949
11,2022-09-01,345118
11,2022-10-01,252872
11,2022-11-01,123964
11,2022-12-01,380589
11,2023-01-01,468456
11,2023-02-01,555728
11,2023-03-01,441877
11,2023-04-01,299530
11,2023-05-01,183180
11,2023-06-01,319593
11,2023-07-01,516801
