Offene Stellen,Wirtschaftsabteilung,date,value
1,24-25,2023-07-01,2865
1,24-25,2023-10-01,1948
1,24-25,2024-01-01,1987
1,24-25,2024-04-01,1992
1,24-25,2024-07-01,1792
1,24-25,2024-10-01,1493
1,24-25,2025-01-01,1684
1,24-25,2025-04-01,1672
1,24-25,2025-07-01,1665
1,24-25,2025-10-01,1540
1,24-25,2026-01-01,1979
1,26,2003-04-01,611
1,26,2003-07-01,547
1,26,2003-10-01,613
1,26,2004-01-01,914
1,26,2004-04-01,1068
1,26,2004-07-01,900
1,26,2004-10-01,915
1,26,2005-01-01,944
1,26,2005-04-01,999
1,26,2005-07-01,1169
1,26,2005-10-01,1570
1,26,2006-01-01,1881
1,26,2006-04-01,1833
1,26,2006-07-01,1779
1,26,2006-10-01,1897
1,26,2007-01-01,2233
1,26,2007-04-01,2569
1,26,2007-07-01,2627
1,26,2007-10-01,2701
1,26,2008-01-01,2855
1,26,2008-04-01,2939
1,26,2008-07-01,2685
1,26,2008-10-01,1580
1,26,2009-01-01,1020
1,26,2009-04-01,979
1,26,2009-07-01,881
1,26,2009-10-01,1198
1,26,2010-01-01,1551
1,26,2010-04-01,2103
1,26,2010-07-01,2172
1,26,2010-10-01,2572
1,26,2011-01-01,3151
1,26,2011-04-01,3173
1,26,2011-07-01,2633
1,26,2011-10-01,2747
1,26,2012-01-01,2636
1,26,2012-04-01,2502
1,26,2012-07-01,2139
1,26,2012-10-01,1938
1,26,2013-01-01,2048
1,26,2013-04-01,2166
1,26,2013-07-01,2270
1,26,2013-10-01,2044
1,26,2014-01-01,2155
1,26,2014-04-01,2367
1,26,2014-07-01,2001
1,26,2014-10-01,2008
1,26,2015-01-01,1809
1,26,2015-04-01,1618
1,26,2015-07-01,1450
1,26,2015-10-01,1396
1,26,2016-01-01,1762
1,26,2016-04-01,1597
1,26,2016-07-01,1402
1,26,2016-10-01,1409
1,26,2017-01-01,1870
1,26,2017-04-01,2001
1,26,2017-07-01,2091
1,26,2017-10-01,2605
1,26,2018-01-01,3228
1,26,2018-04-01,3359
1,26,2018-07-01,2907
1,26,2018-10-01,2953
1,26,2019-01-01,3109
1,26,2019-04-01,2939
1,26,2019-07-01,2472
1,26,2019-10-01,2333
1,26,2020-01-01,1906
1,26,2020-04-01,1843
1,26,2020-07-01,2679
1,26,2020-10-01,1717
1,26,2021-01-01,2341
1,26,2021-04-01,2800
1,26,2021-07-01,3108
1,26,2021-10-01,3252
1,26,2022-01-01,4099
1,26,2022-04-01,4199
1,26,2022-07-01,4056
1,26,2022-10-01,4051
1,26,2023-01-01,5477
1,26,2023-04-01,4909
1,26,2023-07-01,3684
1,26,2023-10-01,3734
1,26,2024-01-01,2830
1,26,2024-04-01,2375
1,26,2024-07-01,2505
1,26,2024-10-01,2190
1,26,2025-01-01,2303
1,26,2025-04-01,2090
1,26,2025-07-01,1999
1,26,2025-10-01,1849
1,26,2026-01-01,1995
1,28,2003-04-01,571
1,28,2003-07-01,365
1,28,2003-10-01,467
1,28,2004-01-01,765
1,28,2004-04-01,768
