flow,partner,level,date,value
export,Austria,country,2016-01-01,7237.228094
export,Austria,country,2017-01-01,8133.721518
export,Austria,country,2018-01-01,7478.902969
export,Austria,country,2019-01-01,6360.797688
export,Austria,country,2020-01-01,7696.098259
export,Austria,country,2021-01-01,9375.203973
export,Austria,country,2022-01-01,10314.923948
export,Austria,country,2023-01-01,9654.476695
export,Austria,country,2024-01-01,7723.892974
export,Austria,country,2025-01-01,9660.542376
export,Belgium,country,1990-01-01,2032
export,Belgium,country,1991-01-01,2067
export,Belgium,country,1992-01-01,2516
export,Belgium,country,1993-01-01,2347
export,Belgium,country,1994-01-01,2367
export,Belgium,country,1995-01-01,2155
export,Belgium,country,1996-01-01,2332
export,Belgium,country,1997-01-01,2614
export,Belgium,country,1998-01-01,2601
export,Belgium,country,1999-01-01,2443
export,Belgium,country,2000-01-01,2579
export,Belgium,country,2001-01-01,2713
export,Belgium,country,2002-01-01,3017
export,Belgium,country,2003-01-01,2758
export,Belgium,country,2004-01-01,2856
export,Belgium,country,2005-01-01,2932
export,Belgium,country,2006-01-01,3238
export,Belgium,country,2007-01-01,3922
export,Belgium,country,2008-01-01,4187
export,Belgium,country,2009-01-01,3890
export,Belgium,country,2010-01-01,3874
export,Belgium,country,2011-01-01,4224
export,Belgium,country,2012-01-01,4991
export,Belgium,country,2013-01-01,5397
export,Belgium,country,2014-01-01,5852
export,Belgium,country,2015-01-01,5608
export,Belgium,country,2016-01-01,6093.785801
export,Belgium,country,2017-01-01,4393.315484
export,Belgium,country,2018-01-01,4393.976796
export,Belgium,country,2019-01-01,4662.3062
export,Belgium,country,2020-01-01,4254.20738
export,Belgium,country,2021-01-01,4625.170431
export,Belgium,country,2022-01-01,4804.225648
export,Belgium,country,2023-01-01,5165.919826
export,Belgium,country,2024-01-01,4879.301773
export,Belgium,country,2025-01-01,4790.110627
export,Brazil,country,1990-01-01,536
export,Brazil,country,1991-01-01,507
export,Brazil,country,1992-01-01,493
export,Brazil,country,1993-01-01,545.932523
export,Brazil,country,1994-01-01,702.309432
export,Brazil,country,1995-01-01,804.135316
export,Brazil,country,1996-01-01,908.354978
export,Brazil,country,1997-01-01,1080.595787
export,Brazil,country,1998-01-01,1228.770176
export,Brazil,country,1999-01-01,1076.549586
export,Brazil,country,2000-01-01,1262.042654
export,Brazil,country,2001-01-01,1236.301219
export,Brazil,country,2002-01-01,1104.752031
export,Brazil,country,2003-01-01,1164.703445
export,Brazil,country,2004-01-01,1250.816346
export,Brazil,country,2005-01-01,1139.224863
export,Brazil,country,2006-01-01,1460.062413
export,Brazil,country,2007-01-01,1866.837789
export,Brazil,country,2008-01-01,2408.592455
export,Brazil,country,2009-01-01,1998.642146
export,Brazil,country,2010-01-01,2317.216315
export,Brazil,country,2011-01-01,2228.200958
export,Brazil,country,2012-01-01,2352.394152
export,Brazil,country,2013-01-01,2226.620423
export,Brazil,country,2014-01-01,2088.893845
export,Brazil,country,2015-01-01,2049.438675
export,Brazil,country,2016-01-01,1911.031109
export,Brazil,country,2017-01-01,2222.542637
export,Brazil,country,2018-01-01,2617.086645
export,Brazil,country,2019-01-01,2514.662093
export,Brazil,country,2020-01-01,2110.186722
export,Brazil,country,2021-01-01,2165.89705
export,Brazil,country,2022-01-01,2406.823019
export,Brazil,country,2023-01-01,2809.853421
export,Brazil,country,2024-01-01,3133.093136
export,Brazil,country,2025-01-01,3011.993844
export,Canada,country,1990-01-01,709
export,Canada,country,1991-01-01,703
export,Canada,country,1992-01-01,707
export,Canada,country,1993-01-01,692.3993
export,Canada,country,1994-01-01,656.328989
export,Canada,country,1995-01-01,759.58206499999994
export,Canada,country,1996-01-01,809.757651
export,Canada,country,1997-01-01,810.099666
export,Canada,country,1998-01-01,872.587579
export,Canada,country,1999-01-01,970.243306
export,Canada,country,2000-01-01,1251.037816
export,Canada,country,2001-01-01,1377.016341
export,Canada,country,2002-01-01,1559.567284
export,Canada,country,2003-01-01,1437.640006
export,Canada,country,2004-01-01,1994.226685
export,Canada,country,2005-01-01,2268.607321
export,Canada,country,2006-01-01,2753.217703
export,Canada,country,2007-01-01,2896.3312769999998
export,Canada,country,2008-01-01,2418.810198
export,Canada,country,2009-01-01,2515.716911
export,Canada,country,2010-01-01,2891.168925
export,Canada,country,2011-01-01,2772.096758
export,Canada,country,2012-01-01,3514.595691
export,Canada,country,2013-01-01,3522.451159
export,Canada,country,2014-01-01,3428.34536
export,Canada,country,2015-01-01,3508.782957
export,Canada,country,2016-01-01,3470.020028
export,Canada,country,2017-01-01,3582.453468
export,Canada,country,2018-01-01,3860.294521
export,Canada,country,2019-01-01,4457.585566
export,Canada,country,2020-01-01,3871.145671
export,Canada,country,2021-01-01,3813.959278
export,Canada,country,2022-01-01,4128.284823
export,Canada,country,2023-01-01,3964.245439
export,Canada,country,2024-01-01,4081.545022
export,Canada,country,2025-01-01,4363.149066
export,Central and South America,group,1990-01-01,2180.313736
export,Central and South America,group,1991-01-01,2408.624393
export,Central and South America,group,1992-01-01,2721.350256
export,Central and South America,group,1993-01-01,2703.941397
export,Central and South America,group,1994-01-01,2885.11839
export,Central and South America,group,1995-01-01,2536.206857
export,Central and South America,group,1996-01-01,2844.061301
export,Central and South America,group,1997-01-01,3455.637808
export,Central and South America,group,1998-01-01,3926.775546
export,Central and South America,group,1999-01-01,3834.566094
export,Central and South America,group,2000-01-01,4430.562507
export,Central and South America,group,2001-01-01,4655.170509
export,Central and South America,group,2002-01-01,4292.301095
export,Central and South America,group,2003-01-01,4057.856963
export,Central and South America,group,2004-01-01,4170.156653
export,Central and South America,group,2005-01-01,4185.809952
export,Central and South America,group,2006-01-01,4869.405136
export,Central and South America,group,2007-01-01,5823.208881
export,Central and South America,group,2008-01-01,6361.512092
export,Central and South America,group,2009-01-01,5471.911285
export,Central and South America,group,2010-01-01,6106.333651
export,Central and South America,group,2011-01-01,6211.026281
export,Central and South America,group,2012-01-01,6807.97059
export,Central and South America,group,2013-01-01,7215.121852
export,Central and South America,group,2014-01-01,7084.161243
export,Central and South America,group,2015-01-01,6781.612465
export,Central and South America,group,2016-01-01,6406.191524
export,Central and South America,group,2017-01-01,6736.395975
export,Central and South America,group,2018-01-01,7131.953783
export,Central and South America,group,2019-01-01,7027.669437
export,Central and South America,group,2020-01-01,5846.611341
export,Central and South America,group,2021-01-01,6266.488502
export,Central and South America,group,2022-01-01,7171.109815
export,Central and South America,group,2023-01-01,7588.592423
export,Central and South America,group,2024-01-01,8187.298514
export,Central and South America,group,2025-01-01,8430.491319
export,China,country,1990-01-01,415
export,China,country,1991-01-01,471
export,China,country,1992-01-01,620
export,China,country,1993-01-01,942.566868
export,China,country,1994-01-01,863.34298
export,China,country,1995-01-01,843.303586
export,China,country,1996-01-01,887.745818
export,China,country,1997-01-01,937.784877
export,China,country,1998-01-01,809.097037
export,China,country,1999-01-01,990.0307130000001
export,China,country,2000-01-01,1402.658194
export,China,country,2001-01-01,1668.1578259999999
export,China,country,2002-01-01,2070.38983
export,China,country,2003-01-01,2485.116911
export,China,country,2004-01-01,3106.988814
export,China,country,2005-01-01,3466.775122
export,China,country,2006-01-01,4105.468102
export,China,country,2007-01-01,5419.432999
export,China,country,2008-01-01,6111.485656
export,China,country,2009-01-01,5501.079656
export,China,country,2010-01-01,7467.020443
export,China,country,2011-01-01,8840.970341
export,China,country,2012-01-01,9307.09119
export,China,country,2013-01-01,19453.329846
export,China,country,2014-01-01,16858.517009
export,China,country,2015-01-01,19264.201625
export,China,country,2016-01-01,26769.479294
export,China,country,2017-01-01,23964.069711
export,China,country,2018-01-01,29586.646568
export,China,country,2019-01-01,21436.831625
export,China,country,2020-01-01,16363.134324
export,China,country,2021-01-01,30221.210327
export,China,country,2022-01-01,42115.180333
export,China,country,2023-01-01,40594.960627
export,China,country,2024-01-01,37276.492437
export,China,country,2025-01-01,29584.443256
export,EU,group,1990-01-01,51378.53454
export,EU,group,1991-01-01,52518.258399
export,EU,group,1992-01-01,55252.593567
export,EU,group,1993-01-01,53636.087706
export,EU,group,1994-01-01,55144.105415
export,EU,group,1995-01-01,56381.448723
export,EU,group,1996-01-01,56115.386275
export,EU,group,1997-01-01,62574.277538
export,EU,group,1998-01-01,67547.089867
export,EU,group,1999-01-01,70691.887034
export,EU,group,2000-01-01,76312.210043
export,EU,group,2001-01-01,79806.118898
export,EU,group,2002-01-01,82016.034724
export,EU,group,2003-01-01,82458.511362
export,EU,group,2004-01-01,88648.678222
export,EU,group,2005-01-01,93891.343526
export,EU,group,2006-01-01,105398.338275
export,EU,group,2007-01-01,117633.79625
export,EU,group,2008-01-01,120894.881758
export,EU,group,2009-01-01,102821.043841
export,EU,group,2010-01-01,107599.977499
export,EU,group,2011-01-01,108740.684077
export,EU,group,2012-01-01,119885.852257
export,EU,group,2013-01-01,116395.913098
export,EU,group,2014-01-01,115933.243656
export,EU,group,2015-01-01,108016.17702
export,EU,group,2016-01-01,112139.138577
export,EU,group,2017-01-01,116736.351144
export,EU,group,2018-01-01,124094.10453
export,EU,group,2019-01-01,126801.560317
export,EU,group,2020-01-01,122083.577226
export,EU,group,2021-01-01,145289.216907
export,EU,group,2022-01-01,156415.553532
export,EU,group,2023-01-01,150917.665196
export,EU,group,2024-01-01,159278.592663
export,EU,group,2025-01-01,174362.094603
export,Europe,group,1990-01-01,60001.15729
export,Europe,group,1991-01-01,59801.658692
export,Europe,group,1992-01-01,62330.397193
export,Europe,group,1993-01-01,61119.579395
export,Europe,group,1994-01-01,62658.663681
export,Europe,group,1995-01-01,63355.826701
export,Europe,group,1996-01-01,63609.338192
export,Europe,group,1997-01-01,70481.482773
export,Europe,group,1998-01-01,75870.476003
export,Europe,group,1999-01-01,78479.063361
export,Europe,group,2000-01-01,85426.362058
export,Europe,group,2001-01-01,89330.594037
export,Europe,group,2002-01-01,91237.350867
export,Europe,group,2003-01-01,91390.350519
export,Europe,group,2004-01-01,98739.300601
export,Europe,group,2005-01-01,105602.14508
export,Europe,group,2006-01-01,118217.330834
export,Europe,group,2007-01-01,133075.347641
export,Europe,group,2008-01-01,137527.257675
export,Europe,group,2009-01-01,116042.035638
export,Europe,group,2010-01-01,123984.26228
