sex,worktime,measure,date,value
_T,PT_I,weekly,2015-01-01,26.745858258
_T,PT_I,weekly,2016-01-01,26.892589172
_T,PT_I,weekly,2017-01-01,26.868399852
_T,PT_I,weekly,2018-01-01,26.945274192
_T,PT_I,weekly,2019-01-01,26.973920882
_T,PT_I,weekly,2020-01-01,25.339476881
_T,PT_I,weekly,2021-01-01,25.988315243
_T,PT_I,weekly,2022-01-01,26.73813876
_T,PT_I,weekly,2023-01-01,27.068127945
_T,PT_I,weekly,2024-01-01,27.180105451
_T,PT_I,weekly,2025-01-01,27.180922675
_T,PT_II,annual,2010-01-01,445.61870673
_T,PT_II,annual,2011-01-01,446.89483769
_T,PT_II,annual,2012-01-01,450.04885662
_T,PT_II,annual,2013-01-01,448.03819036
_T,PT_II,annual,2014-01-01,442.87454538
_T,PT_II,annual,2015-01-01,445.86068602
_T,PT_II,annual,2016-01-01,443.47427716
_T,PT_II,annual,2017-01-01,442.49241968
_T,PT_II,annual,2018-01-01,435.55085742
_T,PT_II,annual,2019-01-01,435.66376733
_T,PT_II,annual,2020-01-01,421.98261049
_T,PT_II,annual,2021-01-01,440.26763304
_T,PT_II,annual,2022-01-01,454.52359458
_T,PT_II,annual,2023-01-01,449.88876244
_T,PT_II,annual,2024-01-01,441.66795693
_T,PT_II,annual,2025-01-01,438.91894006
_T,PT_II,volume,2010-01-01,396735964.22
_T,PT_II,volume,2011-01-01,397746088.68
_T,PT_II,volume,2012-01-01,416016018.98
_T,PT_II,volume,2013-01-01,420260050.4
_T,PT_II,volume,2014-01-01,429685265.08
_T,PT_II,volume,2015-01-01,441624250.17
_T,PT_II,volume,2016-01-01,459735265.57
_T,PT_II,volume,2017-01-01,460033245.94
_T,PT_II,volume,2018-01-01,457970937.57
_T,PT_II,volume,2019-01-01,468574910.22
_T,PT_II,volume,2020-01-01,434915251.2
_T,PT_II,volume,2021-01-01,460016611.24
_T,PT_II,volume,2022-01-01,479347334.7
_T,PT_II,volume,2023-01-01,491602764.18
_T,PT_II,volume,2024-01-01,488730873.24
_T,PT_II,volume,2025-01-01,483784569.28
_T,PT_II,weekly,2010-01-01,9.2272714925
_T,PT_II,weekly,2011-01-01,9.3275831847
_T,PT_II,weekly,2012-01-01,9.4442000785
_T,PT_II,weekly,2013-01-01,9.4706824008
_T,PT_II,weekly,2014-01-01,9.3796999348
_T,PT_II,weekly,2015-01-01,9.343121814
_T,PT_II,weekly,2016-01-01,9.2839957746
_T,PT_II,weekly,2017-01-01,9.3400716706
_T,PT_II,weekly,2018-01-01,9.2320101972
_T,PT_II,weekly,2019-01-01,9.2416867991
_T,PT_II,weekly,2020-01-01,8.8090247499
_T,PT_II,weekly,2021-01-01,9.2955312581
_T,PT_II,weekly,2022-01-01,9.4845563314
_T,PT_II,weekly,2023-01-01,9.4650401347
_T,PT_II,weekly,2024-01-01,9.2802048481
_T,PT_II,weekly,2025-01-01,9.2643634823
_T,_T,annual,2010-01-01,1518.4635871
_T,_T,annual,2011-01-01,1518.3221856
_T,_T,annual,2012-01-01,1499.2074196
_T,_T,annual,2013-01-01,1481.4433684
_T,_T,annual,2014-01-01,1470.908803
_T,_T,annual,2015-01-01,1479.5929069
_T,_T,annual,2016-01-01,1475.6680815
_T,_T,annual,2017-01-01,1459.93778
_T,_T,annual,2018-01-01,1449.9510365
_T,_T,annual,2019-01-01,1443.3744682
_T,_T,annual,2020-01-01,1398.8364276
_T,_T,annual,2021-01-01,1434.6701834
_T,_T,annual,2022-01-01,1438.0419918
_T,_T,annual,2023-01-01,1426.8393432
_T,_T,annual,2024-01-01,1417.1341846
_T,_T,annual,2025-01-01,1408.5200448
_T,_T,volume,2010-01-01,7221330685.5
_T,_T,volume,2011-01-01,7394332499.8
_T,_T,volume,2012-01-01,7452554837.1
_T,_T,volume,2013-01-01,7448384391.1
_T,_T,volume,2014-01-01,7549158251.6
_T,_T,volume,2015-01-01,7724346430.6
_T,_T,volume,2016-01-01,7833706499.5
_T,_T,volume,2017-01-01,7815687127.2
_T,_T,volume,2018-01-01,7857371528.4
_T,_T,volume,2019-01-01,7903188282.3
_T,_T,volume,2020-01-01,7608206740.8
_T,_T,volume,2021-01-01,7828655053.2
_T,_T,volume,2022-01-01,7965498745.2
_T,_T,volume,2023-01-01,8106016657.1
_T,_T,volume,2024-01-01,8117326974.3
_T,_T,volume,2025-01-01,8088317013.1
_T,_T,weekly,2010-01-01,32.56822899
_T,_T,weekly,2011-01-01,32.747302362
_T,_T,weekly,2012-01-01,32.544115903
_T,_T,weekly,2013-01-01,32.412447226
_T,_T,weekly,2014-01-01,32.191308495
_T,_T,weekly,2015-01-01,32.091703821
_T,_T,weekly,2016-01-01,31.927296522
_T,_T,weekly,2017-01-01,31.876098422
_T,_T,weekly,2018-01-01,31.790809764
_T,_T,weekly,2019-01-01,31.656601144
_T,_T,weekly,2020-01-01,29.725748711
_T,_T,weekly,2021-01-01,30.686199404
_T,_T,weekly,2022-01-01,31.102406767
_T,_T,weekly,2023-01-01,31.159732431
_T,_T,weekly,2024-01-01,30.944290713
_T,_T,weekly,2025-01-01,30.891042829
