sex,worktime,measure,date,value
F,PT_I,volume,2023-01-01,1048783195.5
F,PT_I,volume,2024-01-01,1091908546.8
F,PT_I,volume,2025-01-01,1095852774.8
F,PT_I,weekly,2010-01-01,26.085909373
F,PT_I,weekly,2011-01-01,26.161978239
F,PT_I,weekly,2012-01-01,26.247031051
F,PT_I,weekly,2013-01-01,26.085293871
F,PT_I,weekly,2014-01-01,26.444357725
F,PT_I,weekly,2015-01-01,26.285016332
F,PT_I,weekly,2016-01-01,26.476318752
F,PT_I,weekly,2017-01-01,26.476233068
F,PT_I,weekly,2018-01-01,26.493622743
F,PT_I,weekly,2019-01-01,26.530567031
F,PT_I,weekly,2020-01-01,24.868018404
F,PT_I,weekly,2021-01-01,25.578134729
F,PT_I,weekly,2022-01-01,26.26192683
F,PT_I,weekly,2023-01-01,26.666453232
F,PT_I,weekly,2024-01-01,26.701218199
F,PT_I,weekly,2025-01-01,26.661845152
F,PT_II,annual,2010-01-01,450.77548181
F,PT_II,annual,2011-01-01,449.5235866
F,PT_II,annual,2012-01-01,454.42789612
F,PT_II,annual,2013-01-01,454.55576352
F,PT_II,annual,2014-01-01,448.62446514
F,PT_II,annual,2015-01-01,452.05747363
F,PT_II,annual,2016-01-01,449.1187762
F,PT_II,annual,2017-01-01,449.87251674
F,PT_II,annual,2018-01-01,447.7045704
F,PT_II,annual,2019-01-01,448.35726958
F,PT_II,annual,2020-01-01,425.31358508
F,PT_II,annual,2021-01-01,444.21476291
F,PT_II,annual,2022-01-01,460.64396758
F,PT_II,annual,2023-01-01,462.07635306
F,PT_II,annual,2024-01-01,451.55945049
F,PT_II,annual,2025-01-01,447.9413637
F,PT_II,volume,2010-01-01,300795027.06
F,PT_II,volume,2011-01-01,303892700.14
F,PT_II,volume,2012-01-01,315904429.58
F,PT_II,volume,2013-01-01,317448253.76
F,PT_II,volume,2014-01-01,322070746.35
F,PT_II,volume,2015-01-01,328853022.39
F,PT_II,volume,2016-01-01,340126207.19
F,PT_II,volume,2017-01-01,335897286.87
F,PT_II,volume,2018-01-01,336825590.67
F,PT_II,volume,2019-01-01,346620633.04
F,PT_II,volume,2020-01-01,315078496.06
F,PT_II,volume,2021-01-01,327691136.76
F,PT_II,volume,2022-01-01,337448103.05
F,PT_II,volume,2023-01-01,347937878.95
F,PT_II,volume,2024-01-01,342830512.32
F,PT_II,volume,2025-01-01,337756284.88
F,PT_II,weekly,2010-01-01,9.3548029224
F,PT_II,weekly,2011-01-01,9.3926044621
F,PT_II,weekly,2012-01-01,9.5606497946
F,PT_II,weekly,2013-01-01,9.6422753153
F,PT_II,weekly,2014-01-01,9.5243691572
F,PT_II,weekly,2015-01-01,9.5056467922
F,PT_II,weekly,2016-01-01,9.4342076806
F,PT_II,weekly,2017-01-01,9.5253442198
F,PT_II,weekly,2018-01-01,9.5176172161
F,PT_II,weekly,2019-01-01,9.5439448805
F,PT_II,weekly,2020-01-01,8.9269461579
F,PT_II,weekly,2021-01-01,9.3974290809
F,PT_II,weekly,2022-01-01,9.6642968499
F,PT_II,weekly,2023-01-01,9.7754740913
F,PT_II,weekly,2024-01-01,9.5374216605
F,PT_II,weekly,2025-01-01,9.5155337294
F,_T,annual,2010-01-01,1223.292794
F,_T,annual,2011-01-01,1224.7350162
F,_T,annual,2012-01-01,1211.1435038
F,_T,annual,2013-01-01,1201.1716691
F,_T,annual,2014-01-01,1204.0885613
F,_T,annual,2015-01-01,1211.667466
F,_T,annual,2016-01-01,1212.8129103
F,_T,annual,2017-01-01,1204.3520745
F,_T,annual,2018-01-01,1198.8430432
F,_T,annual,2019-01-01,1192.9119158
F,_T,annual,2020-01-01,1155.9043163
F,_T,annual,2021-01-01,1196.5271128
F,_T,annual,2022-01-01,1210.3463066
F,_T,annual,2023-01-01,1205.8282042
F,_T,annual,2024-01-01,1201.9007974
F,_T,annual,2025-01-01,1196.3998754
F,_T,volume,2010-01-01,2664599521.9
F,_T,volume,2011-01-01,2738456759
F,_T,volume,2012-01-01,2775655055.6
F,_T,volume,2013-01-01,2789533020.7
F,_T,volume,2014-01-01,2869388033.8
F,_T,volume,2015-01-01,2945940192.8
F,_T,volume,2016-01-01,3010219502.3
F,_T,volume,2017-01-01,3000992132
F,_T,volume,2018-01-01,3028401546.8
F,_T,volume,2019-01-01,3053788969.9
F,_T,volume,2020-01-01,2937186283.5
F,_T,volume,2021-01-01,3051575465.8
F,_T,volume,2022-01-01,3123927861.5
F,_T,volume,2023-01-01,3202577509.8
F,_T,volume,2024-01-01,3234435913.2
F,_T,volume,2025-01-01,3234548641.8
F,_T,weekly,2010-01-01,26.123324043
F,_T,weekly,2011-01-01,26.303346072
F,_T,weekly,2012-01-01,26.193476034
F,_T,weekly,2013-01-01,26.194769186
F,_T,weekly,2014-01-01,26.266441045
F,_T,weekly,2015-01-01,26.200017654
F,_T,weekly,2016-01-01,26.14895188
F,_T,weekly,2017-01-01,26.208738934
F,_T,weekly,2018-01-01,26.213316238
F,_T,weekly,2019-01-01,26.096914011
F,_T,weekly,2020-01-01,24.551831694
F,_T,weekly,2021-01-01,25.503023036
F,_T,weekly,2022-01-01,26.131178293
F,_T,weekly,2023-01-01,26.283096771
F,_T,weekly,2024-01-01,26.18814122
F,_T,weekly,2025-01-01,26.196957523
M,FT,annual,2010-01-01,1952.4476512
M,FT,annual,2011-01-01,1946.7238165
M,FT,annual,2012-01-01,1929.6296226
M,FT,annual,2013-01-01,1909.7859799
M,FT,annual,2014-01-01,1899.6750755
M,FT,annual,2015-01-01,1916.1461868
M,FT,annual,2016-01-01,1919.7036256
M,FT,annual,2017-01-01,1897.9222017
M,FT,annual,2018-01-01,1888.7142412
M,FT,annual,2019-01-01,1884.3225029
M,FT,annual,2020-01-01,1818.4727982
M,FT,annual,2021-01-01,1865.758095
M,FT,annual,2022-01-01,1855.410016
M,FT,annual,2023-01-01,1848.6522233
M,FT,annual,2024-01-01,1837.2774349
M,FT,annual,2025-01-01,1827.2962171
M,FT,volume,2010-01-01,4190863974.3
M,FT,volume,2011-01-01,4277232214.1
M,FT,volume,2012-01-01,4285788503.5
M,FT,volume,2013-01-01,4256154961.3
M,FT,volume,2014-01-01,4237367634.3
M,FT,volume,2015-01-01,4307077694.4
M,FT,volume,2016-01-01,4327291137.3
M,FT,volume,2017-01-01,4315880210.5
M,FT,volume,2018-01-01,4309318160.2
M,FT,volume,2019-01-01,4312490589
M,FT,volume,2020-01-01,4134639739.8
M,FT,volume,2021-01-01,4241652911.8
