D0,D1,D2,date,value
A0,B,S,2015-07-01,-4.611053273628092
A0,B,S,2015-10-01,-7.786179892858728
A0,B,S,2016-01-01,-8.057924912714373
A0,B,S,2016-04-01,-7.2469773801940764
A0,B,S,2016-07-01,-11.602380442071041
A0,B,S,2016-10-01,-12.802117751219114
A0,B,S,2017-01-01,-1.6588394676345142
A0,B,S,2017-04-01,-3.03102826265584
A0,B,S,2017-07-01,-4.820249093469335
A0,B,S,2017-10-01,-4.606508718775727
A0,B,S,2018-01-01,-5.0542298084268475
A0,B,S,2018-04-01,-5.4285353001075425
A0,B,S,2018-07-01,-2.3152273391835463
A0,B,S,2018-10-01,0.3458437766760137
A0,B,S,2019-01-01,-1.2916895317982233
A0,B,S,2019-04-01,-6.450321830151017
A0,B,S,2019-07-01,-4.129904961937526
A0,B,S,2019-10-01,-3.3092410310911666
A0,B,S,2020-01-01,-7.326872900706988
A0,B,S,2020-04-01,-5.522920819493289
A0,B,S,2020-07-01,-4.365977571552828
A0,B,S,2020-10-01,-7.142129818820483
A0,B,S,2021-01-01,-7.49223297163658
A0,B,S,2021-04-01,-4.7073218475565195
A0,B,S,2021-07-01,-2.055081642359879
A0,B,S,2021-10-01,-5.2564145903449555
A0,B,S,2022-01-01,-7.268902594558925
A0,B,S,2022-04-01,14.683758248961249
A0,B,S,2022-07-01,-4.6082631888240355
A0,B,S,2022-10-01,5.9823565176455284
A0,B,S,2023-01-01,-19.067205064423828
A0,B,S,2023-04-01,-6.752900676474351
A0,B,S,2023-07-01,-7.095334515474878
A0,B,S,2023-10-01,0.6613919806219564
A0,B,S,2024-01-01,-47.749413776488964
A0,B,S,2024-04-01,-6.515796505943
A0,B,S,2024-07-01,-6.074472714256
A0,B,S,2024-10-01,-8.801025660774
A0,B,S,2025-01-01,-7.195347574222
A0,B,S,2025-04-01,-8.032286525015
A0,B,S,2025-07-01,-8.730542188283001
A0,B,S,2025-10-01,-12.8254702372062
A0,DT,A,2012-01-01,171.38141705336943
A0,DT,A,2012-04-01,186.7996097935764
A0,DT,A,2012-07-01,173.3934753185608
A0,DT,A,2012-10-01,199.87092737287438
A0,DT,A,2013-01-01,160.1783978077102
A0,DT,A,2013-04-01,179.25463556247905
A0,DT,A,2013-07-01,185.59239552103892
A0,DT,A,2013-10-01,171.29693286966727
A0,DT,A,2014-01-01,151.92944173343824
A0,DT,A,2014-04-01,201.1660910480141
A0,DT,A,2014-07-01,192.9176751827766
A0,DT,A,2014-10-01,185.01871494043456
A0,DT,A,2015-01-01,158.57507198693673
A0,DT,A,2015-04-01,169.68398308809958
A0,DT,A,2015-07-01,159.21950639863226
A0,DT,A,2015-10-01,169.19489518296092
A0,DT,A,2016-01-01,142.6589794725612
A0,DT,A,2016-04-01,146.5648973247898
A0,DT,A,2016-07-01,151.47497692296383
A0,DT,A,2016-10-01,146.19961301097499
A0,DT,A,2017-01-01,132.51572683373394
A0,DT,A,2017-04-01,155.8091244126037
A0,DT,A,2017-07-01,162.06544215338914
A0,DT,A,2017-10-01,149.6276570963372
A0,DT,A,2018-01-01,144.306877945759
A0,DT,A,2018-04-01,158.57063066648317
A0,DT,A,2018-07-01,168.99499279480398
A0,DT,A,2018-10-01,169.90326762463673
A0,DT,A,2019-01-01,156.6159762666623
A0,DT,A,2019-04-01,128.32765804358542
A0,DT,A,2019-07-01,155.56290003103393
A0,DT,A,2019-10-01,127.98931027966262
A0,DT,A,2020-01-01,127.52270120080308
A0,DT,A,2020-04-01,103.57688551984268
A0,DT,A,2020-07-01,115.28612873296913
A0,DT,A,2020-10-01,121.05582291481024
A0,DT,A,2021-01-01,115.39981491412934
A0,DT,A,2021-04-01,120.92558339135022
A0,DT,A,2021-07-01,141.16452110581346
A0,DT,A,2021-10-01,157.69653803326872
A0,DT,A,2022-01-01,159.69627392252124
A0,DT,A,2022-04-01,123.87349712786005
A0,DT,A,2022-07-01,127.38455086190146
A0,DT,A,2022-10-01,172.39980451691557
A0,DT,A,2023-01-01,184.50308194060898
A0,DT,A,2023-04-01,218.09813539069089
A0,DT,A,2023-07-01,201.69389940592103
A0,DT,A,2023-10-01,203.19699110866554
A0,DT,A,2024-01-01,212.1036734286194
A0,DT,A,2024-04-01,159.7937109474775
A0,DT,A,2024-07-01,74.11780319226798
A0,DT,A,2024-10-01,202.49703146445702
A0,DT,A,2025-01-01,163.16561484443156
A0,DT,A,2025-04-01,154.89846865377862
A0,DT,A,2025-07-01,170.31127339530215
A0,DT,A,2025-10-01,171.54612841399222
A0,DT,E,2012-01-01,338.0055735633032
A0,DT,E,2012-04-01,353.4453232649099
A0,DT,E,2012-07-01,341.91517359049493
A0,DT,E,2012-10-01,371.15238094771314
A0,DT,E,2013-01-01,308.0893669224339
A0,DT,E,2013-04-01,319.4655703377682
A0,DT,E,2013-07-01,326.2277070199051
A0,DT,E,2013-10-01,321.332823813496
A0,DT,E,2014-01-01,296.81427014434985
A0,DT,E,2014-04-01,331.1775821350626
A0,DT,E,2014-07-01,352.2562668969032
A0,DT,E,2014-10-01,324.7765678200425
A0,DT,E,2015-01-01,294.6562945566342
A0,DT,E,2015-04-01,297.0520952727805
A0,DT,E,2015-07-01,335.20459950730185
A0,DT,E,2015-10-01,322.18739369945854
A0,DT,E,2016-01-01,269.3789312665465
A0,DT,E,2016-04-01,271.11085883786325
A0,DT,E,2016-07-01,256.6767320845403
A0,DT,E,2016-10-01,281.23506749554724
A0,DT,E,2017-01-01,265.1082207235096
A0,DT,E,2017-04-01,275.42790992526534
A0,DT,E,2017-07-01,264.02391094436837
A0,DT,E,2017-10-01,295.47650032126035
A0,DT,E,2018-01-01,258.96766484328253
A0,DT,E,2018-04-01,307.5575911451769
A0,DT,E,2018-07-01,272.1876371714975
A0,DT,E,2018-10-01,301.30088762690934
A0,DT,E,2019-01-01,358.8891127909444
A0,DT,E,2019-04-01,282.0443010954284
A0,DT,E,2019-07-01,250.0424804282706
A0,DT,E,2019-10-01,274.853114897457
A0,DT,E,2020-01-01,274.50886448212987
A0,DT,E,2020-04-01,226.83414683832135
A0,DT,E,2020-07-01,204.7159292909747
A0,DT,E,2020-10-01,253.43945967497768
A0,DT,E,2021-01-01,200.92368713751824
A0,DT,E,2021-04-01,224.1546748519396
A0,DT,E,2021-07-01,224.52127502285464
A0,DT,E,2021-10-01,265.7324901871814
A0,DT,E,2022-01-01,222.14037336742422
