NOGA,ADJUSTMENT,INDICATOR_KE,date,value
47,N,PTOT,2011-07-01,87.58
47,N,PTOT,2011-08-01,80.23
47,N,PTOT,2011-09-01,83.19
47,N,PTOT,2011-10-01,86.7
47,N,PTOT,2011-11-01,90.31
47,N,PTOT,2011-12-01,108.84
47,N,PTOT,2012-01-01,85.59
47,N,PTOT,2012-02-01,81.11
47,N,PTOT,2012-03-01,91.08
47,N,PTOT,2012-04-01,83.96
47,N,PTOT,2012-05-01,92.44
47,N,PTOT,2012-06-01,88.67
47,N,PTOT,2012-07-01,88.96
47,N,PTOT,2012-08-01,85.45
47,N,PTOT,2012-09-01,85.62
47,N,PTOT,2012-10-01,90.43
47,N,PTOT,2012-11-01,93.47
47,N,PTOT,2012-12-01,107.92
47,N,PTOT,2013-01-01,87.61
47,N,PTOT,2013-02-01,79.66
47,N,PTOT,2013-03-01,89.39
47,N,PTOT,2013-04-01,87.21
47,N,PTOT,2013-05-01,94.07
47,N,PTOT,2013-06-01,88.65
47,N,PTOT,2013-07-01,91.27
47,N,PTOT,2013-08-01,87.86
47,N,PTOT,2013-09-01,85.58
47,N,PTOT,2013-10-01,92.48
47,N,PTOT,2013-11-01,97.81
47,N,PTOT,2013-12-01,109.76
47,N,PTOT,2014-01-01,87.62
47,N,PTOT,2014-02-01,80.6
47,N,PTOT,2014-03-01,90.34
47,N,PTOT,2014-04-01,89.75
47,N,PTOT,2014-05-01,95.43
47,N,PTOT,2014-06-01,89.33
47,N,PTOT,2014-07-01,91.61
47,N,PTOT,2014-08-01,87.21
47,N,PTOT,2014-09-01,87.67
47,N,PTOT,2014-10-01,93.29
47,N,PTOT,2014-11-01,95.09
47,N,PTOT,2014-12-01,113.79
47,N,PTOT,2015-01-01,88.41
47,N,PTOT,2015-02-01,79.76
47,N,PTOT,2015-03-01,90.49
47,N,PTOT,2015-04-01,89.04
47,N,PTOT,2015-05-01,92.88
47,N,PTOT,2015-06-01,92.41
47,N,PTOT,2015-07-01,93.72
47,N,PTOT,2015-08-01,85.62
47,N,PTOT,2015-09-01,88.38
47,N,PTOT,2015-10-01,93.89
47,N,PTOT,2015-11-01,93.4
47,N,PTOT,2015-12-01,113.35
47,N,PTOT,2016-01-01,86.28
47,N,PTOT,2016-02-01,82.3
47,N,PTOT,2016-03-01,90.33
47,N,PTOT,2016-04-01,89.82
47,N,PTOT,2016-05-01,91.43
47,N,PTOT,2016-06-01,90.47
47,N,PTOT,2016-07-01,90.13
47,N,PTOT,2016-08-01,86.03
47,N,PTOT,2016-09-01,87.48
47,N,PTOT,2016-10-01,91.49
47,N,PTOT,2016-11-01,96.88
47,N,PTOT,2016-12-01,113.79
47,N,PTOT,2017-01-01,88.11
47,N,PTOT,2017-02-01,80.94
47,N,PTOT,2017-03-01,94.49
47,N,PTOT,2017-04-01,87.69
47,N,PTOT,2017-05-01,94.56
47,N,PTOT,2017-06-01,92.2
47,N,PTOT,2017-07-01,90.66
47,N,PTOT,2017-08-01,86.73
47,N,PTOT,2017-09-01,89.74
47,N,PTOT,2017-10-01,90.45
47,N,PTOT,2017-11-01,99.21
47,N,PTOT,2017-12-01,113.18
47,N,PTOT,2018-01-01,88.56
47,N,PTOT,2018-02-01,81.22
47,N,PTOT,2018-03-01,95.47
47,N,PTOT,2018-04-01,88.87
47,N,PTOT,2018-05-01,94.53
47,N,PTOT,2018-06-01,95.12
47,N,PTOT,2018-07-01,91.2
47,N,PTOT,2018-08-01,88.79
47,N,PTOT,2018-09-01,86.42
47,N,PTOT,2018-10-01,94.29
47,N,PTOT,2018-11-01,99.81
