base,date,value
1963,1979-11-01,150.7
1963,1979-12-01,150.9
1963,1980-01-01,152
1963,1980-02-01,152.6
1963,1980-03-01,153.5
1963,1980-04-01,154.2
1963,1980-05-01,154.5
1963,1980-06-01,154.9
1963,1980-07-01,155.4
1963,1980-08-01,155.6
1963,1980-09-01,155.6
1963,1980-10-01,156.8
1963,1980-11-01,157.4
1963,1980-12-01,157.9
1963,1981-01-01,159.4
1963,1981-02-01,160.3
1963,1981-03-01,161.8
1963,1981-04-01,162.2
1963,1981-05-01,163
1963,1981-06-01,162.8
1963,1981-07-01,163.9
1963,1981-08-01,164.4
1963,1981-09-01,165
1963,1981-10-01,167.2
1963,1981-11-01,167.3
1963,1981-12-01,167.6
1963,1982-01-01,167.9
1963,1982-02-01,168.3
1963,1982-03-01,168.1
1963,1982-04-01,168.8
1963,1982-05-01,170.2
1963,1982-06-01,169.9
1963,1982-07-01,170.5
1963,1982-08-01,170.3
1963,1982-09-01,170.6
1963,1982-10-01,170.8
1963,1982-11-01,170.7
1963,1982-12-01,170.7
1963,1983-01-01,170.6
1963,1983-02-01,170.2
1963,1983-03-01,170.1
1963,1983-04-01,170.5
1963,1983-05-01,170.9
1963,1983-06-01,171.4
1963,1983-07-01,171.6
1963,1983-08-01,172
1963,1983-09-01,172.7
1963,1983-10-01,172.7
1963,1983-11-01,173.1
1963,1983-12-01,173.7
1963,1984-01-01,174.5
1963,1984-02-01,174.8
1963,1984-03-01,176.4
1963,1984-04-01,176.5
1963,1984-05-01,176.6
1963,1984-06-01,176.7
1963,1984-07-01,177
1963,1984-08-01,176.8
1963,1984-09-01,177.4
1963,1984-10-01,177.7
1963,1984-11-01,177.8
1963,1984-12-01,178.1
1963,1985-01-01,179.5
1963,1985-02-01,180.1
1963,1985-03-01,180.1
1963,1985-04-01,180.9
1963,1985-05-01,180.8
1963,1985-06-01,180.8
1963,1985-07-01,180
1963,1985-08-01,179.4
1963,1985-09-01,180
1963,1985-10-01,180.6
1963,1985-11-01,180.6
1963,1985-12-01,180.4
1963,1986-01-01,179.9
1963,1986-02-01,179.6
1963,1986-03-01,178.6
1963,1986-04-01,178.3
1963,1986-05-01,178.3
1963,1986-06-01,178.4
1963,1986-07-01,178.4
1963,1986-08-01,177.7
1963,1986-09-01,177.3
1963,1986-10-01,177
1963,1986-11-01,176.1
1963,1986-12-01,176.2
1963,1987-01-01,176.4966
1963,1987-02-01,176.0566
1963,1987-03-01,176.3642
1963,1987-04-01,176.0803
1963,1987-05-01,176.2364
1963,1987-06-01,176.7153
1963,1987-07-01,176.4771
1963,1987-08-01,176.6814
1963,1987-09-01,176.7467
1963,1987-10-01,177.3177
1963,1987-11-01,177.5361
1963,1987-12-01,177.6819
1963,1988-01-01,177.6321
1963,1988-02-01,178.5649
1963,1988-03-01,179.5193
1963,1988-04-01,179.4293
1963,1988-05-01,179.836
1963,1988-06-01,180.1592
1963,1988-07-01,180.2953
1963,1988-08-01,180.1393
1963,1988-09-01,181.6593
1963,1988-10-01,182.3792
1963,1988-11-01,182.7915
1963,1988-12-01,183.3879
1963,1989-01-01,183.8393
1963,1989-02-01,184.2316
1963,1989-03-01,184.8658
1963,1989-04-01,185.8059
1963,1989-05-01,186.5875
1963,1989-06-01,186.5911
1963,1989-07-01,186.499
1963,1989-08-01,186.6328
1963,1989-09-01,187.0029
1963,1989-10-01,187.234
1963,1989-11-01,187.3666
1963,1989-12-01,187.9163
1963,1990-01-01,188.0839
1963,1990-02-01,189.1211
1963,1990-03-01,190.1192
1963,1990-04-01,190.5773
1963,1990-05-01,191.3099
1963,1990-06-01,190.9138
1963,1990-07-01,191.1311
1963,1990-08-01,191.3063
1963,1990-09-01,191.5695
1963,1990-10-01,191.0278
1963,1990-11-01,190.6991
1963,1990-12-01,190.6818
1963,1991-01-01,191.648
1963,1991-02-01,192.1891
1963,1991-03-01,192.0661
1963,1991-04-01,192.3661
1963,1991-05-01,193.0923
1963,1991-06-01,193.2679
1963,1991-07-01,193.6858
1963,1991-08-01,193.707
1963,1991-09-01,193.5372
1963,1991-10-01,193.9048
1963,1991-11-01,193.586
1963,1991-12-01,193.5378
1963,1992-01-01,193.3513
1963,1992-02-01,193.2621
1963,1992-03-01,194.3752
1963,1992-04-01,194.2768
1963,1992-05-01,194.8905
1963,1992-06-01,194.7757
1963,1992-07-01,194.728
1963,1992-08-01,194.3956
1963,1992-09-01,194.5401
1963,1992-10-01,195.0024
1963,1992-11-01,195.1718
1963,1992-12-01,195.131
1963,1993-01-01,195.3781
1963,1993-02-01,194.8281
1963,1993-03-01,196.0173
1963,1993-04-01,195.5129
1963,1993-05-01,195.4719
1963,1993-06-01,195.8345
1963,1993-07-01,196.0679
1963,1993-08-01,195.6961
1963,1993-09-01,195.3857
1963,1993-10-01,194.897
1963,1993-11-01,194.1116
1963,1993-12-01,194.3526
1963,1994-01-01,194.1529
1963,1994-02-01,194.1575
1963,1994-03-01,194.2821
1963,1994-04-01,193.9214
1963,1994-05-01,193.8735
1963,1994-06-01,194.4482
1963,1994-07-01,194.6998
1963,1994-08-01,194.6153
