type,structure,seas_adj,date,value
index,ks_i11_econ_hist_q,csa,1992-10-01,-117.2542742984256
index,ks_i11_econ_hist_q,csa,1993-01-01,-104.84023700202148
index,ks_i11_econ_hist_q,csa,1993-04-01,-105.81749498230222
index,ks_i11_econ_hist_q,csa,1993-07-01,-101.75203398710266
index,ks_i11_econ_hist_q,csa,1993-10-01,-88.91023885373747
index,ks_i11_econ_hist_q,csa,1994-01-01,-67.49376366910661
index,ks_i11_econ_hist_q,csa,1994-04-01,-33.369633118009766
index,ks_i11_econ_hist_q,csa,1994-07-01,-18.486025232511523
index,ks_i11_econ_hist_q,csa,1994-10-01,-9.88091131349849
index,ks_i11_econ_hist_q,csa,1995-01-01,-18.959858681919545
index,ks_i11_econ_hist_q,csa,1995-04-01,-13.048534623158965
index,ks_i11_econ_hist_q,csa,1995-07-01,-30.399814204528884
index,ks_i11_econ_hist_q,csa,1995-10-01,-32.24471556095925
index,ks_i11_econ_hist_q,csa,1996-01-01,-57.30580600405072
index,ks_i11_econ_hist_q,csa,1996-04-01,-79.29090399757992
index,ks_i11_econ_hist_q,csa,1996-07-01,-88.24001574742854
index,ks_i11_econ_hist_q,csa,1996-10-01,-86.91331670714791
index,ks_i11_econ_hist_q,csa,1997-01-01,-90.79614904812284
index,ks_i11_econ_hist_q,csa,1997-04-01,-77.46029819406107
index,ks_i11_econ_hist_q,csa,1997-07-01,-56.26249026086691
index,ks_i11_econ_hist_q,csa,1997-10-01,-22.973585361731462
index,ks_i11_econ_hist_q,csa,1998-01-01,-36.09739592124427
index,ks_i11_econ_hist_q,csa,1998-04-01,-9.017344629798952
index,ks_i11_econ_hist_q,csa,1998-07-01,13.75997899173479
index,ks_i11_econ_hist_q,csa,1998-10-01,1.916643597400805
index,ks_i11_econ_hist_q,csa,1999-01-01,0.6789991008352159
index,ks_i11_econ_hist_q,csa,1999-04-01,-5.631398642933188
index,ks_i11_econ_hist_q,csa,1999-07-01,4.630366881990231
index,ks_i11_econ_hist_q,csa,1999-10-01,20.1123873101419
index,ks_i11_econ_hist_q,csa,2000-01-01,31.47765752238432
index,ks_i11_econ_hist_q,csa,2000-04-01,38.989486023718065
index,ks_i11_econ_hist_q,csa,2000-07-01,51.98942544794535
index,ks_i11_econ_hist_q,csa,2000-10-01,49.26464710704856
index,ks_i11_econ_hist_q,csa,2001-01-01,45.809657390139805
index,ks_i11_econ_hist_q,csa,2001-04-01,35.64284954495833
index,ks_i11_econ_hist_q,csa,2001-07-01,21.735812357949772
index,ks_i11_econ_hist_q,csa,2001-10-01,-53.8269985374005
index,ks_i11_econ_hist_q,csa,2002-01-01,-52.030794692466145
index,ks_i11_econ_hist_q,csa,2002-04-01,-36.59016016377954
index,ks_i11_econ_hist_q,csa,2002-07-01,-50.325901339584114
index,ks_i11_econ_hist_q,csa,2002-10-01,-103.83324497784804
index,ks_i11_econ_hist_q,csa,2003-01-01,-83.25252821153104
index,ks_i11_econ_hist_q,csa,2003-04-01,-101.20407904591364
index,ks_i11_econ_hist_q,csa,2003-07-01,-92.34457981310572
index,ks_i11_econ_hist_q,csa,2003-10-01,-66.04737398179715
index,ks_i11_econ_hist_q,csa,2004-01-01,-58.56463178786878
index,ks_i11_econ_hist_q,csa,2004-04-01,-28.73429477214511
index,ks_i11_econ_hist_q,csa,2004-07-01,-22.011097503206745
index,ks_i11_econ_hist_q,csa,2004-10-01,-33.43171031657722
index,ks_i11_econ_hist_q,csa,2005-01-01,-30.712861318380824
index,ks_i11_econ_hist_q,csa,2005-04-01,-26.546420515343826
index,ks_i11_econ_hist_q,csa,2005-07-01,-37.8234950455559
index,ks_i11_econ_hist_q,csa,2005-10-01,-35.564133453355176
index,ks_i11_econ_hist_q,csa,2006-01-01,-2.5124902608669117
index,ks_i11_econ_hist_q,csa,2006-04-01,12.953407913964982
index,ks_i11_econ_hist_q,csa,2006-07-01,31.80590821387093
index,ks_i11_econ_hist_q,csa,2006-10-01,38.55031167150024
index,ks_i11_econ_hist_q,csa,2007-01-01,41.05281002511974
index,ks_i11_econ_hist_q,csa,2007-04-01,45.59614213486539
index,ks_i11_econ_hist_q,csa,2007-07-01,40.97807577686894
index,ks_i11_econ_hist_q,csa,2007-10-01,33.201795453418804
index,ks_i11_econ_hist_q,csa,2008-01-01,28.16177374673043
index,ks_i11_econ_hist_q,csa,2008-04-01,-0.14954130056445436
index,ks_i11_econ_hist_q,csa,2008-07-01,-27.607187230563884
index,ks_i11_econ_hist_q,csa,2008-10-01,-59.923372061992616
index,ks_i11_econ_hist_q,csa,2009-01-01,-66.49752300174623
index,ks_i11_econ_hist_q,csa,2009-04-01,-98.81904612420948
index,ks_i11_econ_hist_q,csa,2009-07-01,-102.7907833963029
index,ks_i11_econ_hist_q,csa,2009-10-01,-77.2090355456475
index,ks_i11_econ_hist_q,csa,2010-01-01,-60.807207591728826
index,ks_i11_econ_hist_q,csa,2010-04-01,-9.870980826904647
index,ks_i11_econ_hist_q,csa,2010-07-01,2.7604052062931252
index,ks_i11_econ_hist_q,csa,2010-10-01,13.21368920259285
index,ks_i11_econ_hist_q,csa,2011-01-01,14.13840850923716
index,ks_i11_econ_hist_q,csa,2011-04-01,10.27929311915176
index,ks_i11_econ_hist_q,csa,2011-07-01,-7.608644107020758
index,ks_i11_econ_hist_q,csa,2011-10-01,-44.13928451924012
index,ks_i11_econ_hist_q,csa,2012-01-01,-49.626084301835256
index,ks_i11_econ_hist_q,csa,2012-04-01,-20.174391017805515
index,ks_i11_econ_hist_q,csa,2012-07-01,-26.65042129534967
index,ks_i11_econ_hist_q,csa,2012-10-01,-24.49337644679219
index,ks_i11_econ_hist_q,csa,2013-01-01,-12.252204786475644
index,ks_i11_econ_hist_q,csa,2013-04-01,-9.136225311464887
index,ks_i11_econ_hist_q,csa,2013-07-01,-11.725370403979614
index,ks_i11_econ_hist_q,csa,2013-10-01,0.21230537946006356
index,ks_i11_econ_hist_q,csa,2014-01-01,9.316368799535772
index,ks_i11_econ_hist_q,csa,2014-04-01,2.9437656187191656
index,ks_i11_econ_hist_q,csa,2014-07-01,4.412717495365776
index,ks_i11_econ_hist_q,csa,2014-10-01,-11.49243795049202
index,ks_i11_econ_hist_q,csa,2015-01-01,-1.5839851540888246
index,ks_i11_econ_hist_q,csa,2015-04-01,-24.508614291874665
index,ks_i11_econ_hist_q,csa,2015-07-01,-38.109198079796954
index,ks_i11_econ_hist_q,csa,2015-10-01,-32.075227903452465
index,ks_i11_econ_hist_q,csa,2016-01-01,-37.20290586731305
index,ks_i11_econ_hist_q,csa,2016-04-01,-32.863043766401965
index,ks_i11_econ_hist_q,csa,2016-07-01,-29.979428205933033
index,ks_i11_econ_hist_q,csa,2016-10-01,-20.86813079623976
index,ks_i11_econ_hist_q,csa,2017-01-01,-11.20447338322978
index,ks_i11_econ_hist_q,csa,2017-04-01,-8.147638302891746
index,ks_i11_econ_hist_q,csa,2017-07-01,7.159357752950015
index,ks_i11_econ_hist_q,csa,2017-10-01,10.839259278727932
index,ks_i11_econ_hist_q,csa,2018-01-01,21.924369807392473
index,ks_i11_econ_hist_q,csa,2018-04-01,16.021629368450697
index,ks_i11_econ_hist_q,csa,2018-07-01,10.890551564228144
index,ks_i11_econ_hist_q,csa,2018-10-01,15.8548566779086
index,ks_i11_econ_hist_q,csa,2019-01-01,6.820843072466422
index,ks_i11_econ_hist_q,csa,2019-04-01,2.447509739133088
index,ks_i11_econ_hist_q,csa,2019-07-01,1.8105113704544584
index,ks_i11_econ_hist_q,csa,2019-10-01,-12.996361228608848
index,ks_i11_econ_hist_q,csa,2020-01-01,3.5907961241096142
index,ks_i11_econ_hist_q,csa,2020-04-01,-42.74981496421103
index,ks_i11_econ_hist_q,csa,2020-07-01,-89.8636807370574
index,ks_i11_econ_hist_q,csa,2020-10-01,-96.77121119109948
index,ks_i11_econ_hist_q,csa,2021-01-01,-96.55931300334184
index,ks_i11_econ_hist_q,csa,2021-04-01,-92.80451867444228
index,ks_i11_econ_hist_q,csa,2021-07-01,-44.212895119166504
index,ks_i11_econ_hist_q,csa,2021-10-01,-22.17776222739411
index,ks_i11_econ_hist_q,csa,2022-01-01,-25.30494309105559
index,ks_i11_econ_hist_q,csa,2022-04-01,-27.407712389953247
index,ks_i11_econ_hist_q,csa,2022-07-01,-54.32847089040686
index,ks_i11_econ_hist_q,csa,2022-10-01,-62.42199252331035
index,ks_i11_econ_hist_q,csa,2023-01-01,-51.53209810400416
index,ks_i11_econ_hist_q,csa,2023-04-01,-53.99008797297368
index,ks_i11_econ_hist_q,csa,2023-07-01,-37.33114311060785
index,ks_i11_econ_hist_q,csa,2023-10-01,-69.74253720922371
index,ks_i11_econ_hist_q,csa,2024-01-01,-50.070903733279856
index,ks_i11_econ_hist_q,csa,2024-04-01,-42.25921299169001
index,ks_i11_econ_hist_q,csa,2024-07-01,-31.622999191281902
index,ks_i11_econ_hist_q,csa,2024-10-01,-46.00324748374797
index,ks_i11_econ_hist_q,csa,2025-01-01,-34.124848037253734
index,ks_i11_econ_hist_q,csa,2025-04-01,-53.31272958855845
index,ks_i11_econ_hist_q,csa,2025-07-01,-43.499985137009446
index,ks_i11_econ_hist_q,csa,2025-10-01,-61.181001747748894
index,ks_i11_econ_hist_q,csa,2026-01-01,-52.60317817995912
index,ks_i11_econ_hist_q,csa,2026-04-01,-63.20734780216388
index,ks_i11_econ_hist_q,na,1972-10-01,-2.2673922216512254
index,ks_i11_econ_hist_q,na,1973-01-01,-9.417252165628817
index,ks_i11_econ_hist_q,na,1973-04-01,-7.448112578463478
index,ks_i11_econ_hist_q,na,1973-07-01,-8.68532976703975
index,ks_i11_econ_hist_q,na,1973-10-01,-26.961388056458095
index,ks_i11_econ_hist_q,na,1974-01-01,-35.97477265931952
