D0,D1,D2,date,value
FH,L1015J,25PQP,2018-12-01,1.5
FH,L1015J,25PQP,2019-01-01,1.45
FH,L1015J,25PQP,2019-02-01,1.37
FH,L1015J,25PQP,2019-03-01,1.32
FH,L1015J,25PQP,2019-04-01,1.25
FH,L1015J,25PQP,2019-05-01,1.2125
FH,L1015J,25PQP,2019-06-01,1.0875
FH,L1015J,25PQP,2019-07-01,1.03
FH,L1015J,25PQP,2019-08-01,0.9775
FH,L1015J,25PQP,2019-09-01,0.99
FH,L1015J,25PQP,2019-10-01,0.95
FH,L1015J,25PQP,2019-11-01,1
FH,L1015J,25PQP,2019-12-01,1
FH,L1015J,25PQP,2020-01-01,1
FH,L1015J,25PQP,2020-02-01,1
FH,L1015J,25PQP,2020-03-01,0.95
FH,L1015J,25PQP,2020-04-01,0.95
FH,L1015J,25PQP,2020-05-01,0.97
FH,L1015J,25PQP,2020-06-01,1
FH,L1015J,25PQP,2020-07-01,0.98
FH,L1015J,25PQP,2020-08-01,1.05
FH,L1015J,25PQP,2020-09-01,1
FH,L1015J,25PQP,2020-10-01,0.95
FH,L1015J,25PQP,2020-11-01,0.97
FH,L1015J,25PQP,2020-12-01,0.95
FH,L1015J,25PQP,2021-01-01,1
FH,L1015J,25PQP,2021-02-01,0.95
FH,L1015J,25PQP,2021-03-01,1
FH,L1015J,25PQP,2021-04-01,1
FH,L1015J,25PQP,2021-05-01,1
FH,L1015J,25PQP,2021-06-01,1
FH,L1015J,25PQP,2021-07-01,1
FH,L1015J,25PQP,2021-08-01,1
FH,L1015J,25PQP,2021-09-01,0.9475
FH,L1015J,25PQP,2021-10-01,1
FH,L1015J,25PQP,2021-11-01,1.07
FH,L1015J,25PQP,2021-12-01,1
FH,L1015J,25PQP,2022-01-01,1.05
FH,L1015J,25PQP,2022-02-01,1.25
FH,L1015J,25PQP,2022-03-01,1.29
FH,L1015J,25PQP,2022-04-01,1.35
FH,L1015J,25PQP,2022-05-01,1.25
FH,L1015J,25PQP,2022-06-01,1.45
FH,L1015J,25PQP,2022-07-01,1.49
FH,L1015J,25PQP,2022-08-01,1.3
FH,L1015J,25PQP,2022-09-01,1.75
FH,L1015J,25PQP,2022-10-01,1.5
FH,L1015J,25PQP,2022-11-01,1.5
FH,L1015J,25PQP,2022-12-01,1.87
FH,L1015J,25PQP,2023-01-01,2.115
FH,L1015J,25PQP,2023-02-01,2.36
FH,L1015J,25PQP,2023-03-01,2.49
FH,L1015J,25PQP,2023-04-01,2.47
FH,L1015J,25PQP,2023-05-01,2.5525
FH,L1015J,25PQP,2023-06-01,2.555
FH,L1015J,25PQP,2023-07-01,2.5825
FH,L1015J,25PQP,2023-08-01,2.5675
FH,L1015J,25PQP,2023-09-01,2.415
FH,L1015J,25PQP,2023-10-01,2.495
FH,L1015J,25PQP,2023-11-01,2.4075
FH,L1015J,25PQP,2023-12-01,2.2075
FH,L1015J,25PQP,2024-01-01,2.15
FH,L1015J,25PQP,2024-02-01,2.29
FH,L1015J,25PQP,2024-03-01,2.05
FH,L1015J,25PQP,2024-04-01,2.185
FH,L1015J,25PQP,2024-05-01,2.1
FH,L1015J,25PQP,2024-06-01,2.12
FH,L1015J,25PQP,2024-07-01,1.95
FH,L1015J,25PQP,2024-08-01,1.73
FH,L1015J,25PQP,2024-09-01,1.67
FH,L1015J,25PQP,2024-10-01,1.65
FH,L1015J,25PQP,2024-11-01,1.5225
FH,L1015J,25PQP,2024-12-01,1.45
FH,L1015J,25PQP,2025-01-01,1.49
FH,L1015J,25PQP,2025-02-01,1.5
FH,L1015J,25PQP,2025-03-01,1.53
FH,L1015J,25PQP,2025-04-01,1.68
FH,L1015J,25PQP,2025-05-01,1.5
FH,L1015J,25PQP,2025-06-01,1.5
FH,L1015J,25PQP,2025-07-01,1.5925
FH,L1015J,25PQP,2025-08-01,1.6
FH,L1015J,25PQP,2025-09-01,1.525
FH,L1015J,25PQP,2025-10-01,1.655
FH,L1015J,25PQP,2025-11-01,1.6
FH,L1015J,25PQP,2025-12-01,1.656
FH,L1015J,25PQP,2026-01-01,1.6375
FH,L1015J,25PQP,2026-02-01,1.6825
FH,L1015J,25PQP,2026-03-01,1.6
FH,L1015J,25PQP,2026-04-01,1.665
FH,L1015J,25PQP,2026-05-01,1.68
FH,L1015J,75PQP,2009-05-01,3.3625
FH,L1015J,75PQP,2009-06-01,3.75
FH,L1015J,75PQP,2009-07-01,3.6
FH,L1015J,75PQP,2009-08-01,3.65
FH,L1015J,75PQP,2009-09-01,3.48
FH,L1015J,75PQP,2009-10-01,3.4375
FH,L1015J,75PQP,2009-11-01,3.35
FH,L1015J,75PQP,2009-12-01,3.4
FH,L1015J,75PQP,2010-01-01,3.35
FH,L1015J,75PQP,2010-02-01,3.45
FH,L1015J,75PQP,2010-03-01,3.4
FH,L1015J,75PQP,2010-04-01,3.25
FH,L1015J,75PQP,2010-05-01,3.2625
FH,L1015J,75PQP,2010-06-01,2.965
FH,L1015J,75PQP,2010-07-01,2.9
FH,L1015J,75PQP,2010-08-01,2.8
FH,L1015J,75PQP,2010-09-01,2.85
FH,L1015J,75PQP,2010-10-01,2.85
FH,L1015J,75PQP,2010-11-01,2.85
FH,L1015J,75PQP,2010-12-01,3
FH,L1015J,75PQP,2011-01-01,3.15
FH,L1015J,75PQP,2011-02-01,3.25
FH,L1015J,75PQP,2011-03-01,3.15
FH,L1015J,75PQP,2011-04-01,3.365
FH,L1015J,75PQP,2011-05-01,3.3075
FH,L1015J,75PQP,2011-06-01,3.2125
FH,L1015J,75PQP,2011-07-01,3.1525
FH,L1015J,75PQP,2011-08-01,2.9525
FH,L1015J,75PQP,2011-09-01,2.81
FH,L1015J,75PQP,2011-10-01,2.6785
FH,L1015J,75PQP,2011-11-01,2.7
FH,L1015J,75PQP,2011-12-01,2.53
FH,L1015J,75PQP,2012-01-01,2.55
FH,L1015J,75PQP,2012-02-01,2.4
FH,L1015J,75PQP,2012-03-01,2.35
FH,L1015J,75PQP,2012-04-01,2.3225
FH,L1015J,75PQP,2012-05-01,2.3
FH,L1015J,75PQP,2012-06-01,2.1775
FH,L1015J,75PQP,2012-07-01,2.25
FH,L1015J,75PQP,2012-08-01,2.1975
FH,L1015J,75PQP,2012-09-01,2.2
FH,L1015J,75PQP,2012-10-01,2.25
FH,L1015J,75PQP,2012-11-01,2.295
FH,L1015J,75PQP,2012-12-01,2.1
FH,L1015J,75PQP,2013-01-01,2.25
FH,L1015J,75PQP,2013-02-01,2.3
FH,L1015J,75PQP,2013-03-01,2.4125
FH,L1015J,75PQP,2013-04-01,2.35
FH,L1015J,75PQP,2013-05-01,2.43
FH,L1015J,75PQP,2013-06-01,2.5
FH,L1015J,75PQP,2013-07-01,2.515
FH,L1015J,75PQP,2013-08-01,2.7
FH,L1015J,75PQP,2013-09-01,2.7
FH,L1015J,75PQP,2013-10-01,2.77
FH,L1015J,75PQP,2013-11-01,2.8
FH,L1015J,75PQP,2013-12-01,2.7
FH,L1015J,75PQP,2014-01-01,2.75
FH,L1015J,75PQP,2014-02-01,2.605
FH,L1015J,75PQP,2014-03-01,2.775
FH,L1015J,75PQP,2014-04-01,2.55
FH,L1015J,75PQP,2014-05-01,2.53
FH,L1015J,75PQP,2014-06-01,2.5075
FH,L1015J,75PQP,2014-07-01,2.35
FH,L1015J,75PQP,2014-08-01,2.35
FH,L1015J,75PQP,2014-09-01,2.19
FH,L1015J,75PQP,2014-10-01,2.2
FH,L1015J,75PQP,2014-11-01,2.04
FH,L1015J,75PQP,2014-12-01,2
FH,L1015J,75PQP,2015-01-01,1.855
FH,L1015J,75PQP,2015-02-01,1.77
FH,L1015J,75PQP,2015-03-01,1.8275
FH,L1015J,75PQP,2015-04-01,1.85
FH,L1015J,75PQP,2015-05-01,1.935
FH,L1015J,75PQP,2015-06-01,1.9675
FH,L1015J,75PQP,2015-07-01,2.1
FH,L1015J,75PQP,2015-08-01,1.95
FH,L1015J,75PQP,2015-09-01,2.005
FH,L1015J,75PQP,2015-10-01,1.95
FH,L1015J,75PQP,2015-11-01,1.925
FH,L1015J,75PQP,2015-12-01,1.985
FH,L1015J,75PQP,2016-01-01,1.9838
FH,L1015J,75PQP,2016-02-01,1.8525
FH,L1015J,75PQP,2016-03-01,1.83
FH,L1015J,75PQP,2016-04-01,1.7
FH,L1015J,75PQP,2016-05-01,1.7
FH,L1015J,75PQP,2016-06-01,1.65
FH,L1015J,75PQP,2016-07-01,1.6
FH,L1015J,75PQP,2016-08-01,1.85
FH,L1015J,75PQP,2016-09-01,1.66
FH,L1015J,75PQP,2016-10-01,1.6
FH,L1015J,75PQP,2016-11-01,1.7
FH,L1015J,75PQP,2016-12-01,1.7925
FH,L1015J,75PQP,2017-01-01,1.73
