item,date,value
100_1,1997-07-01,92.766
100_1,1997-08-01,92.4449
100_1,1997-09-01,92.6908
100_1,1997-10-01,92.6652
100_1,1997-11-01,92.6857
100_1,1997-12-01,93.3003
100_1,1998-01-01,93.5911
100_1,1998-02-01,93.6089
100_1,1998-03-01,93.4279
100_1,1998-04-01,93.3496
100_1,1998-05-01,93.5247
100_1,1998-06-01,94.6819
100_1,1998-07-01,93.7531
100_1,1998-08-01,93.2936
100_1,1998-09-01,93.2038
100_1,1998-10-01,93.0314
100_1,1998-11-01,92.6821
100_1,1998-12-01,92.9053
100_1,1999-01-01,93.551
100_1,1999-02-01,93.5206
100_1,1999-03-01,93.2205
100_1,1999-04-01,93.3686
100_1,1999-05-01,93.0333
100_1,1999-06-01,93.8638
100_1,1999-07-01,93.6505
100_1,1999-08-01,93.0556
100_1,1999-09-01,93.2011
100_1,1999-10-01,92.8865
100_1,1999-11-01,92.6881
100_1,1999-12-01,93.4742
100_1,2000-01-01,93.821
100_1,2000-02-01,94.7608
100_1,2000-03-01,94.4102
100_1,2000-04-01,95.066
100_1,2000-05-01,95.1929
100_1,2000-06-01,95.7363
100_1,2000-07-01,94.9813
100_1,2000-08-01,95.212
100_1,2000-09-01,94.9125
100_1,2000-10-01,94.5989
100_1,2000-11-01,94.7651
100_1,2000-12-01,94.3133
100_1,2001-01-01,95.1739
100_1,2001-02-01,95.3325
100_1,2001-03-01,95.5155
100_1,2001-04-01,96.1185
100_1,2001-05-01,96.453
100_1,2001-06-01,97.9824
100_1,2001-07-01,97.6807
100_1,2001-08-01,97.1573
100_1,2001-09-01,97.4076
100_1,2001-10-01,97.9469
100_1,2001-11-01,96.9631
100_1,2001-12-01,97.7163
100_1,2002-01-01,99.3508
100_1,2002-02-01,99.2203
100_1,2002-03-01,99.2133
100_1,2002-04-01,99.5516
100_1,2002-05-01,99.1671
100_1,2002-06-01,99.1889
100_1,2002-07-01,99.0258
100_1,2002-08-01,98.8009
100_1,2002-09-01,99.0222
100_1,2002-10-01,98.8353
100_1,2002-11-01,98.4589
100_1,2002-12-01,98.4338
100_1,2003-01-01,98.8467
100_1,2003-02-01,99.5626
100_1,2003-03-01,100.4362
100_1,2003-04-01,100.3039
100_1,2003-05-01,100.2902
100_1,2003-06-01,100.7895
100_1,2003-07-01,100.0105
100_1,2003-08-01,100.355
100_1,2003-09-01,100.7385
100_1,2003-10-01,100.8116
100_1,2003-11-01,100.5361
100_1,2003-12-01,100.6836
100_1,2004-01-01,101.2015
100_1,2004-02-01,100.8741
100_1,2004-03-01,101.0165
100_1,2004-04-01,101.3288
100_1,2004-05-01,101.1078
100_1,2004-06-01,101.7593
100_1,2004-07-01,100.8312
100_1,2004-08-01,100.1149
100_1,2004-09-01,100.4153
100_1,2004-10-01,100.4209
100_1,2004-11-01,100.0678
100_1,2004-12-01,100.3156
100_1,2005-01-01,100.5928
100_1,2005-02-01,101.1621
100_1,2005-03-01,101.0456
100_1,2005-04-01,100.9112
100_1,2005-05-01,100.6465
100_1,2005-06-01,100.9346
100_1,2005-07-01,99.9192
100_1,2005-08-01,99.52
100_1,2005-09-01,99.4879
100_1,2005-10-01,99.0151
100_1,2005-11-01,98.8364
100_1,2005-12-01,98.8039
100_1,2006-01-01,99.6523
100_1,2006-02-01,100.2957
100_1,2006-03-01,99.8227
100_1,2006-04-01,99.794
100_1,2006-05-01,99.858
100_1,2006-06-01,100.333
100_1,2006-07-01,100.0375
100_1,2006-08-01,100.322
100_1,2006-09-01,101.3818
100_1,2006-10-01,99.9387
100_1,2006-11-01,99.4946
100_1,2006-12-01,99.4386
100_1,2007-01-01,100.4207
100_1,2007-02-01,100.316
100_1,2007-03-01,99.788
100_1,2007-04-01,100.5517
100_1,2007-05-01,100.0941
100_1,2007-06-01,100.6027
100_1,2007-07-01,100.2874
100_1,2007-08-01,100.4318
100_1,2007-09-01,100.6385
100_1,2007-10-01,101.0371
100_1,2007-11-01,101.0002
100_1,2007-12-01,101.4545
100_1,2008-01-01,102.3679
100_1,2008-02-01,102.4123
100_1,2008-03-01,102.5968
100_1,2008-04-01,102.7348
100_1,2008-05-01,103.3517
100_1,2008-06-01,104.0041
100_1,2008-07-01,104.0417
100_1,2008-08-01,103.7859
100_1,2008-09-01,104.7471
100_1,2008-10-01,104.999
100_1,2008-11-01,104.4433
100_1,2008-12-01,104.578
100_1,2009-01-01,104.4563
100_1,2009-02-01,104.7402
100_1,2009-03-01,104.4619
100_1,2009-04-01,104.0519
100_1,2009-05-01,103.8708
100_1,2009-06-01,104.1931
100_1,2009-07-01,103.8081
100_1,2009-08-01,102.8876
100_1,2009-09-01,103.2743
100_1,2009-10-01,102.0018
100_1,2009-11-01,102.0175
100_1,2009-12-01,101.9892
100_1,2010-01-01,102.6274
100_1,2010-02-01,103.0711
100_1,2010-03-01,103.4293
100_1,2010-04-01,103.4845
100_1,2010-05-01,102.6803
100_1,2010-06-01,102.6615
100_1,2010-07-01,102.1875
100_1,2010-08-01,102.4731
100_1,2010-09-01,102.2765
100_1,2010-10-01,101.1375
100_1,2010-11-01,101.2794
100_1,2010-12-01,100.6995
100_1,2011-01-01,99.7026
100_1,2011-02-01,99.8186
100_1,2011-03-01,100.1479
100_1,2011-04-01,99.3269
100_1,2011-05-01,100.1143
100_1,2011-06-01,100.507
100_1,2011-07-01,99.7336
100_1,2011-08-01,99.1784
100_1,2011-09-01,98.1848
100_1,2011-10-01,97.8171
100_1,2011-11-01,96.6389
100_1,2011-12-01,96.8767
100_1,2012-01-01,97.4584
100_1,2012-02-01,97.7188
100_1,2012-03-01,98.1998
100_1,2012-04-01,97.6025
100_1,2012-05-01,98.5401
100_1,2012-06-01,98.7423
100_1,2012-07-01,98.7617
100_1,2012-08-01,98.0994
100_1,2012-09-01,97.9131
100_1,2012-10-01,98.2511
100_1,2012-11-01,97.4395
100_1,2012-12-01,97.6897
100_1,2013-01-01,98.4693
100_1,2013-02-01,98.1877
100_1,2013-03-01,98.6572
100_1,2013-04-01,98.5975
100_1,2013-05-01,99.3564
100_1,2013-06-01,99.7492
100_1,2013-07-01,100.7256
100_1,2013-08-01,99.6422
100_1,2013-09-01,99.988
100_1,2013-10-01,99.1386
100_1,2013-11-01,99.1208
100_1,2013-12-01,99.1726
100_1,2014-01-01,99.5418
100_1,2014-02-01,99.2574
100_1,2014-03-01,99.9056
100_1,2014-04-01,99.3262
100_1,2014-05-01,100.4288
100_1,2014-06-01,100.8827
100_1,2014-07-01,101.0005
