D0,D1,D2,D3,date,value
AV1,KC5A,G,F,2019-04-01,18219
AV1,KC5A,G,F,2019-05-01,19369
AV1,KC5A,G,F,2019-06-01,18379
AV1,KC5A,G,F,2019-07-01,19078
AV1,KC5A,G,F,2019-08-01,18961
AV1,KC5A,G,F,2019-09-01,19172
AV1,KC5A,G,F,2019-10-01,19621
AV1,KC5A,G,F,2019-11-01,20171
AV1,KC5A,G,F,2019-12-01,20126
AV1,KC5A,G,F,2020-01-01,20093
AV1,KC5A,G,F,2020-02-01,21087
AV1,KC5A,G,F,2020-03-01,22547
AV1,KC5A,G,F,2020-04-01,25235
AV1,KC5A,G,F,2020-05-01,26427
AV1,KC5A,G,F,2020-06-01,25670
AV1,KC5A,G,F,2020-07-01,26928
AV1,KC5A,G,F,2020-08-01,27030
AV1,KC5A,G,F,2020-09-01,26387
AV1,KC5A,G,F,2020-10-01,26439
AV1,KC5A,G,F,2020-11-01,26373
AV1,KC5A,G,F,2020-12-01,26112
AV1,KC5A,G,F,2021-01-01,27214
AV1,KC5A,G,F,2021-02-01,28357
AV1,KC5A,G,F,2021-03-01,30423
AV1,KC5A,G,F,2021-04-01,26399
AV1,KC5A,G,F,2021-05-01,26541
AV1,KC5A,G,F,2021-06-01,26462
AV1,KC5A,G,F,2021-07-01,27380
AV1,KC5A,G,F,2021-08-01,28673
AV1,KC5A,G,F,2021-09-01,28998
AV1,KC5A,G,F,2021-10-01,28605
AV1,KC5A,G,F,2021-11-01,27400
AV1,KC5A,G,F,2021-12-01,27451
AV1,KC5A,G,F,2022-01-01,30958
AV1,KC5A,G,F,2022-02-01,30181
AV1,KC5A,G,F,2022-03-01,28802
AV1,KC5A,G,F,2022-04-01,29646
AV1,KC5A,G,F,2022-05-01,29964
AV1,KC5A,G,F,2022-06-01,30997
AV1,KC5A,G,F,2022-07-01,30726
AV1,KC5A,G,F,2022-08-01,30389
AV1,KC5A,G,F,2022-09-01,31242
AV1,KC5A,G,F,2022-10-01,31796
AV1,KC5A,G,F,2022-11-01,31695
AV1,KC5A,G,F,2022-12-01,31177
AV1,KC5A,G,F,2023-01-01,30639
AV1,KC5A,G,F,2023-02-01,32762
AV1,KC5A,G,F,2023-03-01,32624
AV1,KC5A,G,F,2023-04-01,29779
AV1,KC5A,G,F,2023-05-01,27566
AV1,KC5A,G,F,2023-06-01,28193
AV1,KC5A,G,F,2023-07-01,27763
AV1,KC5A,G,F,2023-08-01,27873
AV1,KC5A,G,F,2023-09-01,27565
AV1,KC5A,G,F,2023-10-01,27885
AV1,KC5A,G,F,2023-11-01,28003
AV1,KC5A,G,F,2023-12-01,27722
AV1,KC5A,G,F,2024-01-01,26534
AV1,KC5A,G,F,2024-02-01,27140
AV1,KC5A,G,F,2024-03-01,27888
AV1,KC5A,G,F,2024-04-01,25398
AV1,KC5A,G,F,2024-05-01,25605
AV1,KC5A,G,F,2024-06-01,27065
AV1,KC5A,G,F,2024-07-01,26159
