canton,date,value
11,2004-10-01,1182.304
11,2005-01-01,1222.0983
11,2005-04-01,1205.5809
11,2005-07-01,1179.8826
11,2005-10-01,1207.994
11,2006-01-01,1218.5873
11,2006-04-01,1253.57
11,2006-07-01,1294.507
11,2006-10-01,1313.482
11,2007-01-01,1350.9445
11,2007-04-01,1387.087
11,2007-07-01,1411.2903
11,2007-10-01,1406.395
11,2008-01-01,1442.6422
11,2008-04-01,1475.1204
11,2008-07-01,1446.176
11,2008-10-01,1398.4126
11,2009-01-01,1394.497
11,2009-04-01,1419.8911
11,2009-07-01,1393.2678
11,2009-10-01,1406.125
11,2010-01-01,1448.0784
11,2010-04-01,1483.5686
11,2010-07-01,1472.3586
11,2010-10-01,1450.7399
11,2011-01-01,1533.2849
11,2011-04-01,1591.8351
11,2011-07-01,1508.8365
11,2011-10-01,1528.2305
11,2012-01-01,1546.1135
11,2012-04-01,1601.1675
11,2012-07-01,1644.1647
11,2012-10-01,1649.1516
11,2013-01-01,1687.5599
11,2013-04-01,1739.3436
11,2013-07-01,1778.887
11,2013-10-01,1790.6067
11,2014-01-01,1801.9207
11,2014-04-01,1830.6288
11,2014-07-01,1864.5161
11,2014-10-01,1930.4417
11,2015-01-01,1942.2844
11,2015-04-01,1972.2666
11,2015-07-01,1948.734
11,2015-10-01,1959.9285
11,2016-01-01,1960.8337
11,2016-04-01,2028.5614
11,2016-07-01,2061.9592
11,2016-10-01,2053.236
11,2017-01-01,2107.3428
11,2017-04-01,2180.7444
11,2017-07-01,2268.526
11,2017-10-01,2236.183
11,2018-01-01,2252.3257
11,2018-04-01,2305.7769
11,2018-07-01,2299.733
11,2018-10-01,2239.7598
11,2019-01-01,2233.941
11,2019-04-01,2224.854
11,2019-07-01,2230.44
11,2019-10-01,2196.627
11,2020-01-01,2178.9976
11,2020-04-01,2196.9363
11,2020-07-01,2172.6377
11,2020-10-01,2171.1956
11,2021-01-01,2174.203
11,2021-04-01,2227.363
11,2021-07-01,2305.3728
11,2021-10-01,2307.258
11,2022-01-01,2267.544
11,2022-04-01,2292.694
11,2022-07-01,2300.6936
11,2022-10-01,2294.074
11,2023-01-01,2288.7776
11,2023-04-01,2327.2278
11,2023-07-01,2348.7495
11,2023-10-01,2349.6477
11,2024-01-01,2379.2324
11,2024-04-01,2417.908
11,2024-07-01,2457.1223
11,2024-10-01,2461.7607
11,2025-01-01,2458.4062
11,2025-04-01,2545.963
11,2025-07-01,2487.8076
11,2025-10-01,2508.652
11,2026-01-01,2500.465
12,2002-07-01,29253.828
12,2002-10-01,29219.803
12,2003-01-01,29195.086
12,2003-04-01,29529.459
12,2003-07-01,29640.547
12,2003-10-01,29511.572
12,2004-01-01,29861.904
12,2004-04-01,30730.67
12,2004-07-01,29589.252
12,2004-10-01,29279.068
12,2005-01-01,29110.188
12,2005-04-01,28630.975
12,2005-07-01,27774.316
12,2005-10-01,28108.13
12,2006-01-01,28404.03
12,2006-04-01,28724.383
12,2006-07-01,29343.99
12,2006-10-01,29776.543
12,2007-01-01,29973.316
12,2007-04-01,30091.482
12,2007-07-01,30237.248
12,2007-10-01,29732.824
12,2008-01-01,29741.42
12,2008-04-01,30393.791
12,2008-07-01,29747.42
12,2008-10-01,28834.332
12,2009-01-01,29043.008
12,2009-04-01,29545.084
12,2009-07-01,29617.004
12,2009-10-01,29810.94
12,2010-01-01,30551.432
12,2010-04-01,31247.84
12,2010-07-01,31274.125
12,2010-10-01,30482.24
12,2011-01-01,31099.54
12,2011-04-01,31514.379
12,2011-07-01,32035.432
12,2011-10-01,32086.648
12,2012-01-01,32349.219
12,2012-04-01,32933.562
12,2012-07-01,33323.598
12,2012-10-01,33153.004
12,2013-01-01,32890.76
12,2013-04-01,33444.22
12,2013-07-01,33808.105
12,2013-10-01,33642.13
12,2014-01-01,33721.598
12,2014-04-01,34304.59
12,2014-07-01,34738.176
12,2014-10-01,34590.586
12,2015-01-01,34665.32
12,2015-04-01,35121.332
12,2015-07-01,35330.117
12,2015-10-01,34988.387
12,2016-01-01,35299.46
12,2016-04-01,35757.305
12,2016-07-01,35939.156
12,2016-10-01,35741.887
12,2017-01-01,35334.645
12,2017-04-01,35747.387
12,2017-07-01,35976.188
12,2017-10-01,35661.438
12,2018-01-01,34999.887
12,2018-04-01,35233.59
12,2018-07-01,35008.273
12,2018-10-01,34298.63
12,2019-01-01,34081.926
12,2019-04-01,34423.074
12,2019-07-01,34655.418
12,2019-10-01,34546.24
12,2020-01-01,34414.098
12,2020-04-01,34473.035
12,2020-07-01,34683.438
12,2020-10-01,34321.426
12,2021-01-01,33950.49
12,2021-04-01,34338.152
12,2021-07-01,34554.664
12,2021-10-01,34757.125
12,2022-01-01,34659.703
12,2022-04-01,35030.875
12,2022-07-01,35365.76
12,2022-10-01,35403.805
12,2023-01-01,35251.01
12,2023-04-01,35656.97
12,2023-07-01,35683.215
12,2023-10-01,35270.98
12,2024-01-01,35370.73
12,2024-04-01,35461.367
12,2024-07-01,35753.33
12,2024-10-01,35877.805
12,2025-01-01,35743.863
12,2025-04-01,35794.953
12,2025-07-01,36187.516
12,2025-10-01,36088.81
12,2026-01-01,35986.332
13,2002-07-01,16074.009
13,2002-10-01,16148.26
13,2003-01-01,16177.531
13,2003-04-01,16203.93
13,2003-07-01,16246.786
13,2003-10-01,16387.062
13,2004-01-01,16498.945
13,2004-04-01,16929.99
13,2004-07-01,16433.201
13,2004-10-01,16243.894
13,2005-01-01,16298.62
13,2005-04-01,16165.762
13,2005-07-01,16005.467
13,2005-10-01,16071.303
13,2006-01-01,15900.418
13,2006-04-01,16389.203
13,2006-07-01,16970.56
13,2006-10-01,17154.855
13,2007-01-01,17673.129
13,2007-04-01,18083.37
13,2007-07-01,18409.293
13,2007-10-01,17989.078
13,2008-01-01,18012.824
13,2008-04-01,17628.121
13,2008-07-01,17533.469
13,2008-10-01,17463.145
13,2009-01-01,17743.1
13,2009-04-01,18079.693
13,2009-07-01,18211.93
13,2009-10-01,18017.85
13,2010-01-01,18386.023
13,2010-04-01,18706.41
13,2010-07-01,18688.055
13,2010-10-01,18261.73
13,2011-01-01,18696.98
13,2011-04-01,18929.867
13,2011-07-01,19148.678
13,2011-10-01,18932.023
13,2012-01-01,19086.871
13,2012-04-01,19335.688
13,2012-07-01,19408.785
13,2012-10-01,19254.02
13,2013-01-01,18914.744
13,2013-04-01,19139.55
13,2013-07-01,19318.6
13,2013-10-01,19402.38
13,2014-01-01,19488.531
13,2014-04-01,19779
13,2014-07-01,20062.666
13,2014-10-01,19982.37
13,2015-01-01,20071.598
13,2015-04-01,20414.074
13,2015-07-01,20653.176
13,2015-10-01,20601.373
13,2016-01-01,20565.55
13,2016-04-01,20762.139
13,2016-07-01,20950.998
13,2016-10-01,20810.02
13,2017-01-01,20827.996
13,2017-04-01,21060.172
13,2017-07-01,21506.896
13,2017-10-01,21460.594
13,2018-01-01,21479.732
13,2018-04-01,21813.047
13,2018-07-01,21977.21
13,2018-10-01,21774.39
13,2019-01-01,21769.209
13,2019-04-01,22032.455
13,2019-07-01,22360.555
13,2019-10-01,22337.41
13,2020-01-01,22341.275
13,2020-04-01,22299.314
13,2020-07-01,22494.053
13,2020-10-01,22568.756
13,2021-01-01,22307.982
13,2021-04-01,22699.117
13,2021-07-01,23014.924
13,2021-10-01,23131.48
13,2022-01-01,23364.652
13,2022-04-01,23811.531
13,2022-07-01,24412.068
13,2022-10-01,24431.754
13,2023-01-01,24583.17
13,2023-04-01,25074.865
13,2023-07-01,25291.969
13,2023-10-01,25029.047
13,2024-01-01,25111.291
13,2024-04-01,25355.398
13,2024-07-01,25684.723
13,2024-10-01,25730.908
13,2025-01-01,25953.207
13,2025-04-01,26121.09
13,2025-07-01,26141.68
13,2025-10-01,26273.479
13,2026-01-01,26421.246
14,2002-07-01,3598.8523
14,2002-10-01,3567.6655
14,2003-01-01,3548.6633
14,2003-04-01,3577.1833
14,2003-07-01,3626.8274
14,2003-10-01,3505.9336
14,2004-01-01,3505.9429
14,2004-04-01,3548.2117
14,2004-07-01,3418.2048
14,2004-10-01,3358.1526
14,2005-01-01,3418.2795
14,2005-04-01,3403.8928
14,2005-07-01,3386.0432
14,2005-10-01,3424.3223
14,2006-01-01,3434.531
14,2006-04-01,3519.1853
14,2006-07-01,3658.5103
14,2006-10-01,3749.3826
14,2007-01-01,3867.507
14,2007-04-01,3940.437
14,2007-07-01,4023.3398
14,2007-10-01,4026.8037
14,2008-01-01,4031.1907
14,2008-04-01,4121.978
14,2008-07-01,4170.5327
14,2008-10-01,4066.2705
14,2009-01-01,4052.41
14,2009-04-01,4102.0376
14,2009-07-01,4090.0051
14,2009-10-01,4086.852
14,2010-01-01,4175.1465
14,2010-04-01,4255.2886
14,2010-07-01,4263.839
14,2010-10-01,4218.269
14,2011-01-01,4317.9175
14,2011-04-01,4415.0127
14,2011-07-01,4506.881
14,2011-10-01,4480.819
14,2012-01-01,4593.7026
14,2012-04-01,4657.5493
14,2012-07-01,4703.525
14,2012-10-01,4716.182
14,2013-01-01,4659.0405
14,2013-04-01,4759.001
14,2013-07-01,4841.962
14,2013-10-01,4808.357
14,2014-01-01,4759.094
14,2014-04-01,4783.222
14,2014-07-01,4845.6587
14,2014-10-01,4831.9355
14,2015-01-01,4834.983
14,2015-04-01,4872.6733
14,2015-07-01,4878.332
14,2015-10-01,4830.449
14,2016-01-01,4861.0615
14,2016-04-01,4916.216
14,2016-07-01,4985.63
14,2016-10-01,4938.335
14,2017-01-01,4932.023
14,2017-04-01,4966.759
14,2017-07-01,4974.263
