D0,D1,D2,date,value
A,B,D1,1998-04-01,25216.875441928318
A,B,D1,1998-07-01,21978.535808330365
A,B,D1,1998-10-01,18651
A,B,D1,1999-01-01,18818.786399180648
A,B,D1,1999-04-01,20620.770715413266
A,B,D1,1999-07-01,22579.432615158108
A,B,D1,1999-10-01,25198.3
A,B,D1,2000-01-01,26107.6294601073
A,B,D1,2000-04-01,25087.920382946
A,B,D1,2000-07-01,26007.1178971797
A,B,D1,2000-10-01,52251.8
A,B,D1,2001-01-01,53148.7396294231
A,B,D1,2001-04-01,54435.0567663871
A,B,D1,2001-07-01,51421.2697582485
A,B,D1,2001-10-01,53464.8
A,B,D1,2002-01-01,53611.7734645806
A,B,D1,2002-04-01,50115.4966614604
A,B,D1,2002-07-01,49747.8993028078
A,B,D1,2002-10-01,52790.5
A,B,D1,2003-01-01,56066.1444085469
A,B,D1,2003-04-01,57720.4969466912
A,B,D1,2003-07-01,58634.4721008973
A,B,D1,2003-10-01,57077.8
A,B,D1,2004-01-01,58175.8787160397
A,B,D1,2004-04-01,59024.3920689994
A,B,D1,2004-07-01,59925.1575076619
A,B,D1,2004-10-01,59479.5
A,B,D1,2005-01-01,61963.3895851536
A,B,D1,2005-04-01,65806.5985727719
A,B,D1,2005-07-01,66682.1239534851
A,B,D1,2005-10-01,70038.3
A,B,D1,2006-01-01,73957.3804399764
A,B,D1,2006-04-01,69964.6622187244
A,B,D1,2006-07-01,72414.0135878988
A,B,D1,2006-10-01,81410.2
A,B,D1,2007-01-01,86316.9268252617
A,B,D1,2007-04-01,84638.6321573746
A,B,D1,2007-07-01,82877.1797727887
A,B,D1,2007-10-01,86793.6
A,B,D1,2008-01-01,84493.8114581378
A,B,D1,2008-04-01,90597.7817322814
A,B,D1,2008-07-01,86265.1196353623
A,B,D1,2008-10-01,79982
A,B,D1,2009-01-01,84554.4222715254
A,B,D1,2009-04-01,87950.0618961183
A,B,D1,2009-07-01,83562.7928119295
A,B,D1,2009-10-01,82855.6
A,B,D1,2010-01-01,77848.8595252391
A,B,D1,2010-04-01,76666.8177723573
A,B,D1,2010-07-01,76785.5161771962
A,B,D1,2010-10-01,75887.2999999999
A,B,D1,2011-01-01,76476.17157688
A,B,D1,2011-04-01,71015.2677804544
A,B,D1,2011-07-01,74736.0741313066
A,B,D1,2011-10-01,76705.9
A,B,D1,2012-01-01,79233.9999439613
A,B,D1,2012-04-01,79756.6884229527
A,B,D1,2012-07-01,79573.2368737592
A,B,D1,2012-10-01,78807.9
A,B,D1,2013-01-01,81348.2692306428
A,B,D1,2013-04-01,84018.1546627946
A,B,D1,2013-07-01,86773.4473771865
A,B,D1,2013-10-01,90727.1
A,B,D1,2014-01-01,86851.37620193453
A,B,D1,2014-04-01,82991.12010062134
A,B,D1,2014-07-01,86156.81708096674
A,B,D1,2014-10-01,84929.0920412903
A,B,D1,2015-01-01,81655.92948899166
A,B,D1,2015-04-01,81544.35996192627
A,B,D1,2015-07-01,82502.4014365707
A,B,D1,2015-10-01,81387.82575433522
A,B,D1,2016-01-01,78867.95612750613
A,B,D1,2016-04-01,81332.31486136494
A,B,D1,2016-07-01,82100.65679256481
A,B,D1,2016-10-01,85736.74046678792
A,B,D1,2017-01-01,84228.13069110404
A,B,D1,2017-04-01,81456.30807890257
A,B,D1,2017-07-01,81168.02594298775
A,B,D1,2017-10-01,82149.59032608173
A,B,D1,2018-01-01,81206.23589140586
A,B,D1,2018-04-01,82315.54530992366
A,B,D1,2018-07-01,77978.05873757566
A,B,D1,2018-10-01,79059.82788378277
A,B,D1,2019-01-01,79352.48435359231
A,B,D1,2019-04-01,77196.28696629124
A,B,D1,2019-07-01,78086.28420355442
A,B,D1,2019-10-01,84204.2579449137
A,B,D1,2020-01-01,81601.79130278455
A,B,D1,2020-04-01,82097.13321910212
A,B,D1,2020-07-01,82206.47505203246
A,B,D1,2020-10-01,81162.4686596387
A,B,D1,2021-01-01,83361.50357841645
A,B,D1,2021-04-01,81087.73345316698
A,B,D1,2021-07-01,79446.92297566934
A,B,D1,2021-10-01,73729.83976731775
A,B,D1,2022-01-01,69803.33515571163
A,B,D1,2022-04-01,63359.262335990585
A,B,D1,2022-07-01,58155.94825494619
A,B,D1,2022-10-01,54386.69677024449
A,B,D1,2023-01-01,51349.11043763266
A,B,D1,2023-04-01,47035.29392936335
A,B,D1,2023-07-01,43294.52873967179
A,B,D1,2023-10-01,38794.62228298961
A,B,D1,2024-01-01,43502.382453610124
A,B,D1,2024-04-01,77128.8139677682
A,B,D1,2024-07-01,77423.56747634977
A,B,D1,2024-10-01,65649.28299325978
A,B,D1,2025-01-01,65364.71435689668
A,B,D1,2025-04-01,60904.689669830856
A,B,D1,2025-07-01,59669.857577295224
A,B,D1,2025-10-01,52809.545720398
A,B,P,1985-01-01,17705.803580019878
A,B,P,1985-04-01,18483.67950765188
A,B,P,1985-07-01,19133.93793308898
A,B,P,1985-10-01,19834
